modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
0.2,2025-08-27T00:00:0.200000000Z01:00,JF-17 2x SD-10,19273.888697657,10666.181060563,371640.23526403,0.00022973729937803,1.5730638504028,-6.0535967350006e-09,10666.19140625,138.8565826416,77.34243027635,499.88369750977,278.43274899486,-1.6863960027695,0.70903015136719,0.073658242821693,-0.020981233566999,-5.8750757148118e-08,0.46790316025925,0.99999934434891,0.71365278843055,0,71.365280151367,0,0.71365278843055,0,0,0,0,0.71365278843055,0,
0.2,2025-08-27T00:00:0.200000000Z01:00,JF-17 2x SD-10,19273.825738951,10665.656981483,371668.0006439,0.0030311311129481,1.5730638504028,1.3271407794946e-07,10665.6640625,138.8567199707,77.34510590303,499.88419189453,278.44238125091,-3.4613521099091,1.6020599603653,0.13883179426193,-0.011376083828509,1.5891284732561e-08,0.46790020864232,0.99999779462814,0.73042240680763,0,73.042236328125,0,0.73042240680763,0,0,0,0,0.73042240680763,0,
0.4,2025-08-27T00:00:0.400000000Z01:00,JF-17 2x SD-10,19273.762790523,10664.796113505,371695.7614909,0.0088983671739697,1.5730638504028,6.9339711217253e-07,10664.81640625,138.89427185059,77.37023017892,500.01937866211,278.53282864411,-5.0774755477905,2.6048333644867,0.19718858599663,0.00071261910488829,7.3962709734587e-08,0.46802126783156,0.99999535083771,0.7468214336591,0,74.682144165039,0,0.7468214336591,0,0,0,0,0.7468214336591,0,
0.6,2025-08-27T00:00:0.600000000Z01:00,JF-17 2x SD-10,19273.699842763,10663.621859868,371723.52200513,0.017926221713424,1.5730633735657,1.9234901174059e-06,10663.661132812,138.9656829834,77.415714329996,500.27645874023,278.69657158799,-6.5619764328003,3.7336168289185,0.27404871582985,0.015339659526944,-2.7653419465423e-07,0.46825442280299,0.99999171495438,0.76241935991145,0,76.24193572998,0,0.76241935991145,0,0,0,0,0.76241935991145,0,
0.8,2025-08-27T00:00:0.800000000Z01:00,JF-17 2x SD-10,19273.636885522,10662.164551603,371751.28664095,0.030074900016189,1.5730633735657,4.0670620364835e-06,10662.180664062,139.06823730469,77.480173468641,500.64565429688,278.92862448711,-7.9208307266235,4.9882950782776,0.36365965008736,0.03155892342329,-3.3900428775269e-07,0.46859039815413,0.99998676776886,0.77753323792981,0,77.753326416016,0,0.77753323792981,0,0,0,0,0.77753323792981,0,
1,2025-08-27T00:00:1.000000000Z01:00,JF-17 2x SD-10,19273.573909247,10660.459261032,371779.05952549,0.043600481003523,1.5730633735657,6.9691905082436e-06,10660.495117188,139.18879699707,77.555679118957,501.07966918945,279.20044482825,-9.0625810623169,6.2312922477722,0.45367336273193,0.050945561379194,-1.3411319059742e-06,0.4689856719386,0.99998068809509,0.79207226546055,0,79.207221984863,0,0.79207226546055,0,0,0,0,0.79207226546055,0,
1.2,2025-08-27T00:00:1.200000000Z01:00,JF-17 2x SD-10,19273.510904257,10658.541019603,371806.84478009,0.052328791469336,1.5730633735657,9.3092048700782e-06,10658.6015625,139.32458496094,77.64073217452,501.56850585938,279.50663582827,-10.045404434204,7.1328744888306,0.52012258768082,0.06712131947279,-2.308379976057e-07,0.46943093847375,0.99997335672379,0.8066475730342,0,80.664756774902,0,0.8066475730342,0,0,0,0,0.8066475730342,0,
1.4,2025-08-27T00:00:1.400000000Z01:00,JF-17 2x SD-10,19273.447860887,10656.435567563,371834.64619736,0.052287295460701,1.5730633735657,1.017463455355e-05,10656.45703125,139.48463439941,77.740558411814,502.14468383789,279.86601028253,-10.962731361389,7.5036253929138,0.54896229505539,0.080073602497578,2.0328461687313e-06,0.46995625163267,0.99996429681778,0.82172458150816,0,82.172462463379,0,0.82172458150816,0,0,0,0,0.82172458150816,0,
1.6,2025-08-27T00:00:1.600000000Z01:00,JF-17 2x SD-10,19273.384769431,10654.154581973,371862.46794264,0.049367424100637,1.5730633735657,8.9198993009632e-06,10654.202148438,139.66540527344,77.852506600362,502.79545898437,280.2690237613,-11.818288803101,7.6826376914978,0.56292617321014,0.090906977653503,-2.3372979285341e-06,0.47055055451426,0.99995398521423,0.83640753539238,0,83.640754699707,0,0.83640753539238,0,0,0,0,0.83640753539238,0,
1.8,2025-08-27T00:00:1.800000000Z01:00,JF-17 2x SD-10,19273.321620857,10651.704467228,371890.31441045,0.050628446042538,1.5730624198914,5.7312522585562e-06,10651.780273438,139.86981201172,77.978490659422,503.53132324219,280.72256637392,-12.631756782532,8.0822849273682,0.59255987405777,0.10436400026083,-1.3519293133868e-06,0.47122341312407,0.99994212388992,0.85112428785071,0,85.112426757812,0,0.85112428785071,0,0,0,0,0.85112428785071,0,
