modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 2x R-27ER 4x R-73,28111.752264764,10666.916647954,370703.94101668,0.27426746487617,1.5667757987976,1.3715044588025e-05,10666.916992188,138.59967041016,74.116821289062,498.95881347656,266.82055664062,-0.39914610981941,15.879371643066,1.0231003761292,0.10082242637873,-4.9091437404059e-07,0.46729257702827,3369.4987792969,-271.82763671875,-271.82763671875,81.295906066895,81.295959472656,0.011515271641097,0.011515271641097,0,0,0,0.011515271641097,0.011515271641097,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 2x R-27ER 4x R-73,28111.863611969,10666.83480737,370731.62689874,0.26042741537094,1.5668425559998,7.7275450166781e-05,10666.836914062,138.2703704834,74.160079956055,497.77333374023,266.9762878418,-0.41570162773132,15.093648910522,0.97901743650436,0.097738437354565,7.3820425313897e-05,0.46615350246429,3369.4953613281,-269.4983215332,-269.4983215332,83.745819091797,83.747940063477,0.011491078439678,0.011491078439678,0,0,0,0.011491078439678,0.011491078439678,
0.4,2025-08-27T00:00:00.400000000+02:00,Mig-29 2x R-27ER 4x R-73,28111.974613865,10666.731581803,370759.25307317,0.23416033387184,1.5671076774597,0.00017618646961637,10666.735351562,138.0043182373,74.466705322266,496.8155456543,268.08013916016,-0.60291665792465,13.666717529297,0.85896974802017,0.082849971950054,0.0004284453461878,0.46517780423164,3369.4907226562,-265.21508789062,-265.21508789062,84.315216064453,84.325218200684,0.011472138649344,0.011472138649344,0,0,0,0.011472138649344,0.011472138649344,
0.6,2025-08-27T00:00:00.600000000+02:00,Mig-29 2x R-27ER 4x R-73,28112.085126466,10666.563893722,370786.83448144,0.19864097237587,1.5676846504211,0.00047442430513911,10666.56640625,137.81858825684,74.889038085938,496.14691772461,269.60053710938,-1.0514131784439,11.818424224854,0.71095669269562,0.06776450574398,0.001136937760748,0.4645109474659,3369.4790039062,-258.03961181641,-258.03961181641,84.599426269531,84.618507385254,0.011459668244706,0.011459668244706,0,0,0,0.011459668244706,0.011459668244706,
0.8,2025-08-27T00:00:00.800000000+02:00,Mig-29 2x R-27ER 4x R-73,28112.194843581,10666.272702845,370814.38758445,0.16282139718533,1.5685639381409,0.0014083394780755,10666.280273438,137.72647094727,75.30078125,495.81529541016,271.0828125,-1.8326280117035,10.09152507782,0.53311240673065,0.052512899041176,0.0022184415720403,0.46413853764534,3369.4506835938,-247.35487365723,-247.35487365723,84.892715454102,84.918815612793,0.011454367398728,0.011454367398728,0,0,0,0.011454367398728,0.011454367398728,
1,2025-08-27T00:00:01.000000000+02:00,Mig-29 2x R-27ER 4x R-73,28112.303238545,10665.798865487,370841.92749999,0.13365207612514,1.5696740150452,0.0032286068890244,10665.815429688,137.71394348145,75.601173400879,495.7701965332,272.16422424316,-2.8307883739471,8.8359985351562,0.45469701290131,0.061076555401087,0.003431000513956,0.46403843164444,3369.3957519531,-232.81521606445,-232.81521606445,85.230522155762,85.261245727539,0.011456508346718,0.011456508346718,0,0,0,0.011456508346718,0.011456508346718,
1.2,2025-08-27T00:00:01.200000000+02:00,Mig-29 2x R-27ER 4x R-73,28112.409589365,10665.112804077,370869.46818062,0.11023167520761,1.570921421051,0.0059819463640451,10665.12109375,137.78050231934,75.813110351562,496.00980834961,272.92719726563,-3.9586296081543,7.9634380340576,0.41617897152901,0.080614842474461,0.004619718529284,0.46420055627823,3369.3041992188,-214.29824829102,-214.29824829102,85.600708007812,85.633941650391,0.011465771238655,0.011465771238655,0,0,0,0.011465771238655,0.011465771238655,
1.4,2025-08-27T00:00:01.400000000+02:00,Mig-29 2x R-27ER 4x R-73,28112.513077379,10664.19997118,370897.02323023,0.091720260679722,1.5721230506897,0.0095153404399753,10664.220703125,137.92333984375,76.000862121582,496.5240234375,273.6031036377,-5.1126642227173,7.3819761276245,0.38720101118088,0.10456041246653,0.005676927510649,0.46462053060532,3369.16796875,-191.85908508301,-191.85908508301,85.985092163086,86.019058227539,0.011482988338757,0.011482988338757,0,0,0,0.011482988338757,0.011482988338757,
1.6,2025-08-27T00:00:01.600000000+02:00,Mig-29 2x R-27ER 4x R-73,28112.612801695,10663.049990619,370924.60630145,0.076210595667362,1.5732388496399,0.01384156756103,10663.087890625,138.14390563965,76.197074890137,497.31806030273,274.30946960449,-6.3076920509338,6.9876937866211,0.36705473065376,0.13100904226303,0.0064364308491349,0.46532446146011,3368.9829101562,-165.68867492676,-165.68867492676,86.367469787598,86.400787353516,0.011507271163851,0.011507271163851,0,0,0,0.011507271163851,0.011507271163851,
1.8,2025-08-27T00:00:01.800000000+02:00,Mig-29 2x R-27ER 4x R-73,28112.707886732,10661.656177536,370952.23090126,0.062975436449051,1.5742735862732,0.019509702920914,10661.670898438,138.45147705078,76.402702331543,498.42531738281,275.04972839355,-7.5593676567078,6.7444767951965,0.36367413401604,0.1603541970253,0.0064922841265798,0.46627032756805,3368.7473144531,-136.07608032227,-136.07608032227,86.735107421875,86.766716003418,0.011539051123699,0.011539051123699,0,0,0,0.011539051123699,0.011539051123699,
2,2025-08-27T00:00:02.000000000+02:00,Mig-29 2x R-27ER 4x R-73,28112.797433413,10660.016602492,370979.91026225,0.053226411342621,1.5751786231995,0.026417087763548,10660.051757812,138.82556152344,76.624908447266,499.77202148437,275.84967041016,-8.7874135971069,6.6878700256348,0.35188934206963,0.18749122321606,0.0063688834197819,0.4674696624279,3368.4619140625,-103.37607574463,-103.37607574463,87.078643798828,87.107788085938,0.011579495489463,0.011579495489463,0,0,0,0.011579495489463,0.011579495489463,
2.2,2025-08-27T00:00:02.200000000+02:00,Mig-29 2x R-27ER 4x R-73,28112.88045416,10658.129442251,371007.65663999,0.049137897789478,1.5760560035706,0.034408986568451,10658.189453125,139.26751708984,76.846534729004,501.36306152344,276.64752502441,-10.00754737854,6.9480819702148,0.37401106953621,0.21650260686874,0.0057896743528545,0.46894791722298,3368.1286621094,-67.981109619141,-67.981109619141,87.391738891602,87.417900085449,0.011625812178437,0.011625812178437,0,0,0,0.011625812178437,0.011625812178437,
2.4,2025-08-27T00:00:02.400000000+02:00,Mig-29 2x R-27ER 4x R-73,28112.955628449,10656.00360349,371035.4813832,0.05183445289731,1.576976776123,0.042846348136663,10656.026367188,139.78230285645,77.036056518555,503.2162902832,277.3298034668,-11.19487953186,7.5780129432678,0.41043716669083,0.24430675804615,0.0047542313113809,0.47058540582657,3367.7512207031,-30.298435211182,-30.298435211182,87.670585632324,87.693519592285,0.011678289475424,0.011678289475424,0,0,0,0.011678289475424,0.011678289475424,
2.6,2025-08-27T00:00:02.600000000+02:00,Mig-29 2x R-27ER 4x R-73,28113.021446367,10653.655441521,371063.39394338,0.062119398266077,1.5779643058777,0.050373192876577,10653.704101562,140.32466125488,77.1708984375,505.16878051758,277.815234375,-12.251546859741,8.5840644836426,0.47005787491798,0.27185413241386,0.0028632306493819,0.4723744392395,3367.3332519531,9.2683734893799,9.2683734893799,87.913467407227,87.933090209961,0.01173757556636,0.01173757556636,0,0,0,0.01173757556636,0.01173757556636,
2.8,2025-08-27T00:00:02.800000000+02:00,Mig-29 2x R-27ER 4x R-73,28113.075988626,10651.11105832,371091.40170148,0.080378115177155,1.5791335105896,0.056837145239115,10651.190429688,140.89004516602,77.210571289062,507.20416259766,277.95805664062,-13.146562576294,9.976110458374,0.56117427349091,0.30078914761543,0.00050245405873284,0.47431135177612,3366.8793945312,50.333587646484,50.333587646484,88.12028503418,88.136650085449,0.011798607844545,0.011798607844545,0,0,0,0.011798607844545,0.011798607844545,
3,2025-08-27T00:00:03.000000000+02:00,Mig-29 2x R-27ER 4x R-73,28113.11670515,10648.410336406,371119.50929301,0.10584679245949,1.5805125236511,0.06177220121026,10648.438476562,141.46911621094,77.125816345215,509.28881835938,277.65293884277,-13.826237678528,11.689473152161,0.69084882736206,0.33295315504074,-0.0021388931199908,0.47619691491127,3366.39453125,92.539726257324,92.539726257324,88.292091369629,88.30534362793,0.0118609221408,0.0118609221408,0,0,0,0.0118609221408,0.0118609221408,
3.2,2025-08-27T00:00:03.200000000+02:00,Mig-29 2x R-27ER 4x R-73,28113.14022878,10645.608868168,371147.71812483,0.13209147751331,1.5817904472351,0.0645492374897,10645.665039062,142.00006103516,76.94995880127,511.20021972656,277.01985168457,-14.163348197937,13.307410240173,0.86638277769089,0.37221705913544,-0.0047645447775722,0.47799426317215,3365.8825683594,135.56463623047,135.56463623047,88.430709838867,88.44108581543,0.011923893008696,0.011923893008696,0,0,0,0.011923893008696,0.011923893008696,
3.4,2025-08-27T00:00:03.400000000+02:00,Mig-29 2x R-27ER 4x R-73,28113.142654927,10642.772767255,371176.02683585,0.15196885168552,1.5825834274292,0.065108977258205,10642.858398438,142.48519897461,76.820907592773,512.94671630859,276.55526733398,-14.194271087646,14.436800003052,0.97554242610931,0.39542260766029,-0.006795852445066,0.47968757152557,3365.3483886719,179.12496948242,179.12496948242,88.538497924805,88.546287536621,0.011982052565231,0.011982052565231,0,0,0,0.011982052565231,0.011982052565231,
3.6,2025-08-27T00:00:03.600000000+02:00,Mig-29 2x R-27ER 4x R-73,28113.12204054,10639.943845609,371204.43078593,0.16490831971169,1.5829362869263,0.062880866229534,10639.971679688,142.94412231445,76.823608398438,514.59884033203,276.56499023437,-14.110385894775,15.123543739319,1.0022267103195,0.39826261997223,-0.0078748734667897,0.48118990659714,3364.7958984375,222.92381286621,222.92381286621,88.618377685547,88.623878479004,0.012037303489806,0.012037303489806,0,0,0,0.012037303489806,0.012037303489806,
