modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-21bis 6xR60,-7562.0339374548,11998.381880978,457428.91773792,-0.0017317318124697,1.636444568634,-1.1228274843234e-06,11998.389648438,249.86349487305,126.09699622978,899.50858154297,453.94918642723,-1.2216078042984,0.18090502917767,0.31908091902733,-0.079314664006233,2.4361020223296e-07,0.84684380281131,0.99997770786285,412.96,0,50.98978805542,0,0.27495700053042,0,0,0,0,0.27495700053042,0,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-21bis 6xR60,-7565.3110906858,11997.996020968,457478.76608067,-0.0081496415659785,1.6364450454712,-4.769461156684e-06,11998.000976562,249.71853637695,126.02767353598,898.98673095703,453.69962472952,-2.5832026004791,0.12576428055763,0.31110659241676,-0.07895652204752,6.2067960016066e-07,0.84635245471728,0.99995225667953,427.648,0,52.803375244141,0,0.28417378685377,0,0,0,0,0.28417378685377,0,
0.4,2025-08-27T00:00:00.400000000+02:00,Mig-21bis 6xR60,-7568.5862871223,11997.33889084,457528.584664,-0.018593743443489,1.6364455223083,-9.8886293926626e-06,11997.354492188,249.59155273438,125.96999609666,898.52958984375,453.49198594798,-3.9577646255493,-0.15676788985729,0.26611867547035,-0.078020490705967,1.1164577244926e-06,0.84592215568947,0.99992752075195,441.904,0,54.563617706299,0,0.29312556952396,0,0,0,0,0.29312556952396,0,
0.6,2025-08-27T00:00:00.600000000+02:00,Mig-21bis 6xR60,-7571.8596087222,11996.392881054,457578.37473868,-0.032294601202011,1.6364464759827,-1.5782970876899e-05,11996.42578125,249.48097229004,125.92337078627,898.13150024414,453.32413483056,-5.4459624290466,-0.59952574968338,0.19505572319031,-0.076483957469463,1.5954748278091e-06,0.84554734232754,0.99990278482437,456.16,0,56.323860168457,0,0.30208820946381,0,0,0,0,0.30208820946381,0,
0.8,2025-08-27T00:00:00.800000000+02:00,Mig-21bis 6xR60,-7575.1311251408,11995.130147152,457628.13736433,-0.04848499968648,1.6364469528198,-2.1848425603821e-05,11995.14453125,249.3851776123,125.88769162308,897.7866394043,453.19568984309,-7.1374878883362,-1.1379375457764,0.10836887359619,-0.07412264496088,1.927828634507e-06,0.84522262515729,0.99987483024597,470.848,0,58.137447357178,0,0.31133548289644,0,0,0,0,0.31133548289644,0,
1,2025-08-27T00:00:01.000000000+02:00,Mig-21bis 6xR60,-7578.4008623467,11993.518370982,457677.87314563,-0.064620956778526,1.6364488601685,-0.00098078534938395,11993.553710938,249.3109588623,125.86596064204,897.5194519043,453.11745831133,-8.9509334564209,-1.6449933052063,0.014252255670726,-0.070369228720665,-1.9277085812064e-05,0.84497116222663,0.99984657764435,485.104,0,59.897689819336,0,0.32032711756589,0,0,0,0,0.32032711756589,0,
1.2,2025-08-27T00:00:01.200000000+02:00,Mig-21bis 6xR60,-7581.6688005739,11991.522062593,457727.58168181,-0.076142832636833,1.6364555358887,-0.0021008828189224,11991.587890625,249.25259399414,125.85593517753,897.30933837891,453.08136663913,-10.931488990784,-1.8490285873413,-0.055279955267906,-0.068291015923023,-5.230440365267e-05,0.84477330380052,0.99981826543808,499.36,0,61.657936096191,0,0.32933402002777,0,0,0,0,0.32933402002777,0,
1.4,2025-08-27T00:00:01.400000000+02:00,Mig-21bis 6xR60,-7584.9349062697,11989.118817383,457777.2619817,-0.072344534099102,1.636444568634,-0.0026851007714868,11989.14453125,249.2092590332,125.85818949282,897.15333251953,453.08948217414,-12.994884490967,-1.1560192108154,0.017658626660705,-0.069647260010242,-4.9891164962901e-05,0.84462641695314,0.99978917837143,514.048,0,63.471519470215,0,0.33863147892176,0,0,0,0,0.33863147892176,0,
1.6,2025-08-27T00:00:01.600000000+02:00,Mig-21bis 6xR60,-7588.1992003488,11986.342566589,457826.91569939,-0.046455100178719,1.6363878250122,-0.0029754391871393,11986.401367188,249.1788482666,125.86995628082,897.04385375977,453.13184261095,-14.632689476013,0.70487731695175,0.31056991219521,-0.072404853999615,-1.6630079699098e-05,0.84452338151324,0.99976015090942,528.304,0,65.23176574707,0,0.34766919201973,0,0,0,0,0.34766919201973,0,
1.8,2025-08-27T00:00:01.800000000+02:00,Mig-21bis 6xR60,-7591.4615474944,11983.307944384,457876.545911,-0.0038977179210633,1.6362814903259,-0.0031210293527693,11983.401367188,249.11761474609,125.86867348785,896.82341308594,453.12722455626,-15.539888381958,3.3531038761139,0.75550532341003,-0.070158213376999,2.930237496912e-05,0.84431582084178,0.99972832202911,542.56000000001,0,66.992012023926,0,0.35666977895248,0,0,0,0,0.35666977895248,0,
