modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FC3 2xAPU-470 4xAPU-73,-7434.3095775064,11998.90117085,457435.91000065,0.080847337841988,1.6369986534119,-1.3828744727107e-07,11998.90234375,249.85983276367,125.41516876221,899.49539794922,451.49460754395,-0.5433965921402,4.7568187713623,0.99393916130066,-0.0073856958188117,-1.6355212210328e-05,0.84695392847061,3372.4921875,-273.13452148438,-273.13452148438,81.756820678711,81.756767272949,0.024906107528602,0.024906107528602,0,0,0,0.024906107528602,0.024906107528602,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FC3 2xAPU-470 4xAPU-73,-7437.6145333944,11998.779017647,457485.75578953,0.066844575107098,1.6370410919189,-1.1088876590293e-06,11998.782226562,249.69975280762,125.42929840088,898.91911010742,451.54547424316,-0.71367001533508,3.9936697483063,0.83164924383163,-0.020751127973199,0.00014785020903219,0.84639668464661,3372.4829101562,-272.94961547852,-272.94961547852,84.37956237793,84.381362915039,0.024890084435937,0.024890084435937,0,0,0,0.024890084435937,0.024890084435937,
0.4,2025-08-27T00:00:00.400000000+02:00,Mig-29 FC3 2xAPU-470 4xAPU-73,-7440.9176858487,11998.573112678,457535.57232402,0.040253601968288,1.637291431427,4.1837236494757e-05,11998.581054688,249.57176208496,125.54281616211,898.45834350586,451.95413818359,-1.3705860376358,2.6210174560547,0.53126060962677,-0.037615846842527,0.0010850654216483,0.84592396020889,3372.4743652344,-272.2678527832,-272.2678527832,84.982269287109,84.993087768555,0.024877910576292,0.024877910576292,0,0,0,0.024877910576292,0.024877910576292,
0.6,2025-08-27T00:00:00.600000000+02:00,Mig-29 FC3 2xAPU-470 4xAPU-73,-7444.2199312317,11998.16743036,457585.36598622,0.010103682987392,1.6378049850464,-0.00038913715980016,11998.172851562,249.48245239258,125.61714935303,898.13682861328,452.2217376709,-2.6986491680145,1.1986610889435,0.20929183065891,-0.040887173265219,0.0036128703504801,0.84560185670853,3372.46484375,-270.6689453125,-270.6689453125,85.294548034668,85.326416015625,0.024870510278172,0.024870510278172,0,0,0,0.024870510278172,0.024870510278172,
0.8,2025-08-27T00:00:00.800000000+02:00,Mig-29 FC3 2xAPU-470 4xAPU-73,-7447.5225132938,11997.443113192,457635.14300831,-0.011832756921649,1.6384224891663,-0.0025135094765574,11997.4609375,249.44267272949,125.63432312012,897.99362182617,452.28356323242,-4.5180253982544,0.35966259241104,0.0020697191357613,-0.026682037860155,0.0056315292604268,0.84543097019196,3372.4521484375,-267.70611572266,-267.70611572266,85.678749084473,85.738693237305,0.024868935486259,0.024868935486259,0,0,0,0.024868935486259,0.024868935486259,
1,2025-08-27T00:00:01.000000000+02:00,Mig-29 FC3 2xAPU-470 4xAPU-73,-7450.8267078189,11996.335226054,457684.91112719,-0.025480279698968,1.6389665603638,-0.0051129292696714,11996.374023438,249.47120666504,125.65348052979,898.09634399414,452.35252990723,-6.4528965950012,0.021741764619946,-0.011173414066434,0.013194126076996,0.0064613311551511,0.84546709060669,3372.4328613281,-262.95358276367,-262.95358276367,86.186187744141,86.269058227539,0.024875511930808,0.024875511930808,0,0,0,0.024875511930808,0.024875511930808,
1.2,2025-08-27T00:00:01.200000000+02:00,Mig-29 FC3 2xAPU-470 4xAPU-73,-7454.1338657231,11994.829506463,457734.68376066,-0.037282362580299,1.6393418312073,-0.0076127275824547,11994.846679688,249.58305358887,125.71644592285,898.49899291992,452.57920532227,-8.5164623260498,-0.18158772587776,-0.043734006583691,0.032673869282007,0.007737148553133,0.84579968452454,3372.4025878906,-256.03863525391,-256.03863525391,86.787734985352,86.886032104492,0.024891990896188,0.024891990896188,0,0,0,0.024891990896188,0.024891990896188,
1.4,2025-08-27T00:00:01.400000000+02:00,Mig-29 FC3 2xAPU-470 4xAPU-73,-7457.4450802936,11992.914038503,457784.4699054,-0.047425415366888,1.6395115852356,-0.0092797949910164,11992.956054688,249.75315856934,125.81090545654,899.11137084961,452.91925964355,-10.567432403564,-0.29346933960915,-0.061341192573309,0.062521137297153,0.0079525830224156,0.84632444381714,3372.3566894531,-246.66136169434,-246.66136169434,87.443901062012,87.550727844238,0.024916885871086,0.024916885871086,0,0,0,0.024916885871086,0.024916885871086,
1.6,2025-08-27T00:00:01.600000000+02:00,Mig-29 FC3 2xAPU-470 4xAPU-73,-7460.7612960365,11990.581302121,457834.28060167,-0.056605238467455,1.6395077705383,-0.0099870730191469,11990.657226562,250.00241088867,125.95257568359,900.00867919922,453.42927246094,-12.645578384399,-0.34511318802834,-0.069550126791,0.096543528139591,0.0076308059506118,0.84713810682297,3372.2902832031,-234.60420227051,-234.60420227051,88.11962890625,88.229209899902,0.024950773239661,0.024950773239661,0,0,0,0.024950773239661,0.024950773239661,
1.8,2025-08-27T00:00:01.800000000+02:00,Mig-29 FC3 2xAPU-470 4xAPU-73,-7464.0832980415,11987.82719134,457884.12871213,-0.064946122467518,1.6393494606018,-0.010128199122846,11987.856445312,250.3445892334,126.13832855225,901.24052124023,454.09798278809,-14.797721862793,-0.33356627821922,-0.067198067903519,0.13080537319183,0.0068376851268113,0.84820938110352,3372.19921875,-219.73413085938,-219.73413085938,88.786682128906,88.894439697266,0.024994608293407,0.024994608293407,0,0,0,0.024994608293407,0.024994608293407,
