modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FF - 12000 - 2xAPU-470 4xAPU-73,-7593.2175679707,11998.124985157,457425.891013,0.0052040186710656,1.6361141204834,7.7067983283996e-07,11998.135742188,249.88166809082,126.10866977611,899.57400512695,453.99121119399,-1.832414150238,0.71832925081253,0.11675481498241,-0.086560383439064,-3.6854653444607e-05,0.84690539578632,0.9989612698555,-273.13452148438,-273.13452148438,85.000160217285,85.000183105469,0,0,0,0,0,0,0,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FF - 12000 - 2xAPU-470 4xAPU-73,-7596.4788140264,11997.601272511,457475.74173745,0.0072153015062213,1.6360321044922,-5.4213701332628e-06,11997.608398438,249.72843933105,126.03655159035,899.0223815918,453.73158572526,-3.326922416687,1.1767324209213,0.20935356616974,-0.081216596066952,-0.00036639996687882,0.84638608621835,0.99895846843719,-272.94961547852,-272.94961547852,85.045066833496,85.049575805664,0,0,0,0,0,0,0,
0.4,2025-08-27T00:00:00.400000000+02:00,Mig-29 FF - 12000 - 2xAPU-470 4xAPU-73,-7599.737836296,11996.771284637,457525.56039488,0.0032517400104553,1.6359949111938,-5.1571911171777e-05,11996.791015625,249.60057067871,125.98011972233,898.56205444336,453.52843100038,-4.907322883606,1.3128591775894,0.21986103057861,-0.073930613696575,-0.00045163763570599,0.84595258651584,0.99895596504211,-272.2678527832,-272.2678527832,85.195106506348,85.214645385742,0,0,0,0,0,0,0,
0.6,2025-08-27T00:00:00.600000000+02:00,Mig-29 FF - 12000 - 2xAPU-470 4xAPU-73,-7602.9948057789,11995.634236073,457575.35018616,-0.00045849313028157,1.6360116004944,-0.0001245404855581,11995.672851562,249.50207519531,125.94145390329,898.20747070313,453.38923405184,-6.3758444786072,1.4380422830582,0.24844662845135,-0.061129629611969,-0.00034678200609051,0.84561874961765,0.99895316362381,-270.6689453125,-270.6689453125,85.493240356445,85.5419921875,0,0,0,0,0,0,0,
0.8,2025-08-27T00:00:00.800000000+02:00,Mig-29 FF - 12000 - 2xAPU-470 4xAPU-73,-7606.2501174079,11994.202299324,457625.11655795,-0.0055726547725499,1.636088848114,-0.00020075574866496,11994.217773438,249.44160461426,125.92535789251,897.98977661133,453.33128841303,-7.8740744590759,1.4896553754807,0.25145676732063,-0.043475914746523,-3.2912139431573e-05,0.84541392860357,0.99894940853119,-267.70611572266,-267.70611572266,85.952606201172,86.028831481934,0,0,0,0,0,0,0,
1,2025-08-27T00:00:01.000000000+02:00,Mig-29 FF - 12000 - 2xAPU-470 4xAPU-73,-7609.5043747951,11992.477808004,457674.86702998,-0.010354707948864,1.6362133026123,-0.00024080356524792,11992.514648438,249.43434143066,125.93851882916,897.96362915039,453.37866778496,-9.3151426315308,1.5469295978546,0.26479199528694,-0.019649744033813,0.00042967530316673,0.84538929628408,0.99894368648529,-262.95358276367,-262.95358276367,86.529388427734,86.624160766602,0,0,0,0,0,0,0,
1.2,2025-08-27T00:00:01.200000000+02:00,Mig-29 FF - 12000 - 2xAPU-470 4xAPU-73,-7612.7583976387,11990.465383905,457724.61149801,-0.014844507910311,1.6363644599915,-0.00021334900520742,11990.529296875,249.48838806152,125.9854574391,898.15819702148,453.54764678075,-10.725800514221,1.6134417057037,0.28195029497147,0.0099467476829886,0.00095344264991581,0.84557241637422,0.99893468618393,-256.03863525391,-256.03863525391,87.176223754883,87.281921386719,0,0,0,0,0,0,0,
1.4,2025-08-27T00:00:01.400000000+02:00,Mig-29 FF - 12000 - 2xAPU-470 4xAPU-73,-7616.0131891006,11988.171087624,457774.36210662,-0.019401857629418,1.6365275382996,-8.8442931883037e-05,11988.1953125,249.61734008789,126.07367997596,898.62242431641,453.86524791345,-12.149430274963,1.6781686544418,0.29442167282104,0.043146684765816,0.0014856626512483,0.84600945633329,0.99892109632492,-246.66136169434,-246.66136169434,87.854034423828,87.964378356934,0,0,0,0,0,0,0,
1.6,2025-08-27T00:00:01.600000000+02:00,Mig-29 FF - 12000 - 2xAPU-470 4xAPU-73,-7619.269852948,11985.600777276,457824.13240426,-0.023571444675326,1.6366753578186,0.00013980148651171,11985.654296875,249.81864929199,126.20055836966,899.34713745117,454.32201013076,-13.50196647644,1.7476387023926,0.31064230203629,0.077922090888023,0.0019308893242851,0.84669179983417,0.99890142679214,-234.60420227051,-234.60420227051,88.53165435791,88.641616821289,0,0,0,0,0,0,0,
1.8,2025-08-27T00:00:01.800000000+02:00,Mig-29 FF - 12000 - 2xAPU-470 4xAPU-73,-7622.5295248421,11982.759922418,457873.93652644,-0.027154348790646,1.6367974281311,0.00047376990551129,11982.848632812,250.0950012207,126.36800802044,900.34200439453,454.92482887358,-14.827884674072,1.8431910276413,0.32765063643456,0.11237140744925,0.0022507118992507,0.84762841463812,0.99887448549271,-219.73413085938,-219.73413085938,89.185661315918,89.291351318359,0,0,0,0,0,0,0,
