modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FF - 12000m - 2xAPU-470 2xR-60m,-7554.2531823941,11998.123259518,457434.82657285,0.0053917849436402,1.6364192962646,9.3855396698928e-07,11998.134765625,249.87156677246,126.10358106584,899.53764038086,453.97289183703,-1.8397027254105,0.73077583312988,0.13572119176388,-0.093459069728851,-4.5281703933142e-05,0.8468711216196,0.48726093769073,-273.13452148438,-273.13452148438,85.000160217285,85.000183105469,0,0,0,0,0,0,0,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FF - 12000m - 2xAPU-470 2xR-60m,-7557.5294502187,11997.605441716,457484.6727934,0.0072438884526491,1.6363325119019,-7.0891805989959e-06,11997.612304688,249.70407104492,126.02421500571,898.93465576172,453.68717402055,-3.2625515460968,1.1636734008789,0.22945693135262,-0.087663196027279,-0.0004405512008816,0.84630344099321,0.4872582256794,-272.94961547852,-272.94961547852,85.045066833496,85.049575805664,0,0,0,0,0,0,0,
0.4,2025-08-27T00:00:00.400000000+02:00,Mig-29 FF - 12000m - 2xAPU-470 2xR-60m,-7560.803302867,11996.791207547,457534.48464727,0.0031357614789158,1.636296749115,-6.3242121541407e-05,11996.810546875,249.56324768066,125.96108476899,898.42769165039,453.45990516838,-4.8138556480408,1.2849200963974,0.24334132671356,-0.079374738037586,-0.0005214890697971,0.84582615339903,0.48725566267967,-272.2678527832,-272.2678527832,85.195106506348,85.214645385742,0,0,0,0,0,0,0,
0.6,2025-08-27T00:00:00.600000000+02:00,Mig-29 FF - 12000m - 2xAPU-470 2xR-60m,-7564.074922443,11995.67803284,457584.2655066,-0.00073340197559446,1.6363201141357,-0.00014790966815781,11995.715820312,249.45397949219,125.91674982865,898.03432617188,453.30029938313,-6.2368426322937,1.3906368017197,0.26803535223007,-0.065083838999271,-0.00037397522828542,0.84545577225131,0.48725283145905,-270.6689453125,-270.6689453125,85.493240356445,85.541984558105,0,0,0,0,0,0,0,
0.8,2025-08-27T00:00:00.800000000+02:00,Mig-29 FF - 12000m - 2xAPU-470 2xR-60m,-7567.344771174,11994.278178901,457634.02156105,-0.0060455487109721,1.6364064216614,-0.00023039990628604,11994.293945312,249.38623046875,125.89662412702,897.7904296875,453.22784685728,-7.6950259208679,1.4218065738678,0.27485051751137,-0.044964279979467,2.2828446162748e-05,0.84522612318304,0.48724907636642,-267.70611572266,-267.70611572266,85.95255279541,86.028747558594,0,0,0,0,0,0,0,
1,2025-08-27T00:00:01.000000000+02:00,Mig-29 FF - 12000m - 2xAPU-470 2xR-60m,-7570.6135507393,11992.593582773,457683.76127955,-0.011587806977332,1.6365437507629,-0.0002639866725076,11992.629882812,249.37724304199,125.90854444657,897.75807495117,453.27076000765,-9.1033897399902,1.4280837774277,0.27430120110512,-0.018420696258545,0.00059724092716351,0.8451957697287,0.48724335432053,-262.95358276367,-262.95358276367,86.529197692871,86.623901367188,0,0,0,0,0,0,0,
1.2,2025-08-27T00:00:01.200000000+02:00,Mig-29 FF - 12000m - 2xAPU-470 2xR-60m,-7573.8822100546,11990.624756945,457733.49572048,-0.017064552754164,1.6367149353027,-0.00021210047998466,11990.6875,249.43659973145,125.95773392601,897.9717590332,453.44784213364,-10.508004188538,1.4366807937622,0.27873089909554,0.014647369273007,0.0012644958915189,0.84539692273252,0.48723438382149,-256.03863525391,-256.03863525391,87.175827026367,87.281433105469,0,0,0,0,0,0,0,
1.4,2025-08-27T00:00:01.400000000+02:00,Mig-29 FF - 12000m - 2xAPU-470 2xR-60m,-7577.1519151803,11988.373746543,457783.23849764,-0.022810135036707,1.6369004249573,-3.8214653613977e-05,11988.397460938,249.57991027832,126.05277065923,898.48767700195,453.78997437324,-11.937015533447,1.4344880580902,0.28734278678894,0.052043091505766,0.0019444362260401,0.84588262209753,0.48722079396248,-246.66136169434,-246.66136169434,87.853424072266,87.963638305664,0,0,0,0,0,0,0,
1.6,2025-08-27T00:00:01.600000000+02:00,Mig-29 FF - 12000m - 2xAPU-470 2xR-60m,-7580.4239484057,11985.842721718,457833.00479439,-0.028791239485145,1.63707447052,0.00026167224859819,11985.896484375,249.80476379395,126.19113104115,899.2971496582,454.28807174814,-13.326538085938,1.4084494113922,0.2853756248951,0.090719543397427,0.0025371951051056,0.84664473400474,0.48720115423203,-234.60420227051,-234.60420227051,88.530860900879,88.640663146973,0,0,0,0,0,0,0,
1.8,2025-08-27T00:00:01.800000000+02:00,Mig-29 FF - 12000m - 2xAPU-470 2xR-60m,-7583.6996211649,11983.030390799,457882.8103016,-0.034953609108925,1.6372275352478,0.00069035671185702,11983.119140625,250.11462402344,126.37524207671,900.41264648438,454.95087147616,-14.722270965576,1.3718358278275,0.28288945555687,0.12889255583286,0.0030138355214149,0.84769493741413,0.48717415332794,-219.73413085938,-219.73413085938,89.184257507324,89.28978729248,0,0,0,0,0,0,0,
