modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FF - 12000m - 2xR-73 2xAPU-470 2xAPU-73,-7500.7084531672,11998.124838263,457437.01254365,0.0052140038460493,1.6369190216064,7.3785031418083e-07,11998.135742188,249.86950683594,126.10253534733,899.53022460938,453.9691272504,-1.8339813947678,0.71928119659424,0.11994957178831,-0.095139965415001,-3.7380657886388e-05,0.84686419892937,0.82553261518478,-273.13452148438,-273.13452148438,85.000160217285,85.000183105469,0,0,0,0,0,0,0,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FF - 12000m - 2xR-73 2xAPU-470 2xAPU-73,-7504.0095402582,11997.602428004,457486.85639647,0.0073970132507384,1.6368365287781,-5.275388048176e-06,11997.609375,249.69905090332,126.02170943383,898.91658325195,453.67815396177,-3.3115041255951,1.183695435524,0.21909484267235,-0.089536555111408,-0.00037595073808916,0.84628641517361,0.82464122772217,-272.94961547852,-272.94961547852,85.045066833496,85.049575805664,0,0,0,0,0,0,0,
0.4,2025-08-27T00:00:00.400000000+02:00,Mig-29 FF - 12000m - 2xR-73 2xAPU-470 2xAPU-73,-7507.308160857,11996.777185019,457536.66496691,0.0035552412737161,1.6367969512939,-5.0563336117193e-05,11996.796875,249.55459594727,125.9568551287,898.39654541016,453.44467846332,-4.8752126693726,1.323082447052,0.22895111143589,-0.082033269107342,-0.00047513979370706,0.84579676502332,0.82375288009644,-272.2678527832,-272.2678527832,85.195106506348,85.214645385742,0,0,0,0,0,0,0,
0.6,2025-08-27T00:00:00.600000000+02:00,Mig-29 FF - 12000m - 2xR-73 2xAPU-470 2xAPU-73,-7510.6045611866,11995.648539413,457586.44147085,-5.9211160987616e-06,1.6367907524109,-0.0011270216200501,11995.686523438,249.43991088867,125.90992365086,897.98367919922,453.2757251431,-6.3236727714539,1.4523572921753,0.25964993238449,-0.068794682621956,0.00061610667034984,0.84540804180776,0.82463479042053,-270.6689453125,-270.6689453125,85.493240356445,85.541984558105,0,0,0,0,0,0,0,
0.8,2025-08-27T00:00:00.800000000+02:00,Mig-29 FF - 12000m - 2xR-73 2xAPU-470 2xAPU-73,-7513.8992625525,11994.227884192,457636.1914717,-0.004316377453506,1.636736869812,-0.006087614223361,11994.243164062,249.36338806152,125.88558267014,897.70819702148,453.18809761249,-7.8180093765259,1.5493515729904,0.25443288683891,-0.050805330276489,0.00083302130224183,0.84514878914525,0.82463240623474,-267.70611572266,-267.70611572266,85.952522277832,86.028678894043,0,0,0,0,0,0,0,
1,2025-08-27T00:00:01.000000000+02:00,Mig-29 FF - 12000m - 2xR-73 2xAPU-470 2xAPU-73,-7517.1923201107,11992.51781651,457685.92264142,-0.0062813167460263,1.6366076469421,-0.011929566971958,11992.5546875,249.34098815918,125.8909754523,897.62755737305,453.20751162826,-9.2265586853027,1.7608325481415,0.28835079073906,-0.025440201163292,0.00030371188768186,0.84507275738768,0.82551640272141,-262.95358276367,-262.95358276367,86.529090881348,86.623695373535,0,0,0,0,0,0,0,
1.2,2025-08-27T00:00:01.200000000+02:00,Mig-29 FF - 12000m - 2xR-73 2xAPU-470 2xAPU-73,-7520.4835572957,11990.532417005,457735.64533268,-0.0052053295075893,1.6364059448242,-0.015930328518152,11990.595703125,249.37928771973,125.92971740465,897.76543579102,453.34698265673,-10.520832061768,2.1198320388794,0.41001582145691,0.0094529250636697,0.00040271109901369,0.84520269741955,0.82550752162933,-256.03863525391,-256.03863525391,87.175506591797,87.280967712402,0,0,0,0,0,0,0,
1.4,2025-08-27T00:00:01.400000000+02:00,Mig-29 FF - 12000m - 2xR-73 2xAPU-470 2xAPU-73,-7523.7727870395,11988.310772991,457785.37328029,-0.0075411954894662,1.6362242698669,-0.018661137670279,11988.333984375,249.49029541016,126.00815604059,898.16506347656,453.62936174613,-11.656567573547,2.2460861206055,0.40313890576363,0.043036267161369,0.00039303189259954,0.84557894273682,0.82549393177032,-246.66136169434,-246.66136169434,87.852653503418,87.962692260742,0,0,0,0,0,0,0,
1.6,2025-08-27T00:00:01.600000000+02:00,Mig-29 FF - 12000m - 2xR-73 2xAPU-470 2xAPU-73,-7527.0604257522,11985.858629784,457835.12018579,-0.0098952725529671,1.6360697746277,-0.020418444648385,11985.91015625,249.67350769043,126.12469162591,898.82462768555,454.04888985326,-12.814902305603,2.3754460811615,0.42486628890038,0.079223245382309,0.00044207359314896,0.84619987559859,0.82547426223755,-234.60420227051,-234.60420227051,88.529327392578,88.638946533203,0,0,0,0,0,0,0,
1.8,2025-08-27T00:00:01.800000000+02:00,Mig-29 FF - 12000m - 2xR-73 2xAPU-470 2xAPU-73,-7530.3470429752,11983.178766957,457884.90023491,-0.0085093444213271,1.6358418464661,-0.021582558751106,11983.262695312,249.93000793457,126.28052732451,899.74802856445,454.60989836825,-13.913346290588,2.7041170597076,0.47597759962082,0.11685138195753,0.00046559481415898,0.84706920632312,0.82544726133347,-219.73413085938,-219.73413085938,89.181587219238,89.286926269531,0,0,0,0,0,0,0,
