modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FF - 12000m - 2xR27ER 4xR73,-7545.0604011149,11998.126006628,457436.51394078,0.0051554488018155,1.636402130127,7.0665038265361e-07,11998.13671875,249.8659362793,126.10071433333,899.51737060547,453.9625716,-1.8282681703568,0.71462219953537,0.10773430019617,-0.097801126539707,-3.1169503927231e-05,0.84685206960092,0.9989612698555,-273.13452148438,-273.13452148438,85.000160217285,85.000183105469,0,0,0,0,0,0,0,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FF - 12000m - 2xR27ER 4xR73,-7548.3356050902,11997.599930991,457486.35826159,0.0074922628700733,1.6363244056702,-3.8611387935816e-06,11997.606445312,249.69053649902,126.01744588516,898.88593139648,453.66280518657,-3.3528203964233,1.1986602544785,0.20434761047363,-0.092446684837341,-0.00032382339122705,0.84625758384435,0.99895846843719,-272.94961547852,-272.94961547852,85.045066833496,85.049575805664,0,0,0,0,0,0,0,
0.4,2025-08-27T00:00:00.400000000+02:00,Mig-29 FF - 12000m - 2xR27ER 4xR73,-7551.6082998226,11996.76413492,457536.16606695,0.0037565897218883,1.6362833976746,-4.0301172703039e-05,11996.784179688,249.54078674316,125.9499962508,898.34683227539,453.41998650287,-4.9393935203552,1.3494197130203,0.2129187732935,-0.085551686584949,-0.00042158845462836,0.84575009618683,0.99895596504211,-272.2678527832,-272.2678527832,85.195106506348,85.214645385742,0,0,0,0,0,0,0,
0.6,2025-08-27T00:00:00.600000000+02:00,Mig-29 FF - 12000m - 2xR27ER 4xR73,-7554.8786461131,11995.619100667,457585.94041651,0.00030617212178186,1.6362915039062,-0.00010230146290269,11995.657226562,249.41941833496,125.89988079591,897.90990600586,453.23957086526,-6.4203104972839,1.4925576448441,0.24448376893997,-0.073362179100513,-0.00035702783497982,0.84533861378966,0.99895316362381,-270.6689453125,-270.6689453125,85.493240356445,85.542541503906,0,0,0,0,0,0,0,
0.8,2025-08-27T00:00:00.800000000+02:00,Mig-29 FF - 12000m - 2xR27ER 4xR73,-7558.1471261496,11994.177381938,457635.6864381,-0.0045273578725755,1.6363201141357,-0.0015582249034196,11994.193359375,249.33348083496,125.87097897042,897.60053100586,453.13552429351,-7.9262108802795,1.5623241662979,0.24182257056236,-0.056996889412403,0.0019589771982282,0.84504745281337,0.99894940853119,-267.70611572266,-267.70611572266,85.958587646484,86.039367675781,0,0,0,0,0,0,0,
1,2025-08-27T00:00:01.000000000+02:00,Mig-29 FF - 12000m - 2xR27ER 4xR73,-7561.414561165,11992.441576118,457685.41116277,-0.0084851747378707,1.6362051963806,-0.0090494798496366,11992.479492188,249.2986907959,125.87038951241,897.47528686523,453.13340224469,-9.3692646026611,1.6676987409592,0.2727430164814,-0.034134827554226,0.0010612574405968,0.8449295697259,0.99894374608994,-262.95358276367,-262.95358276367,86.552139282227,86.654342651367,0,0,0,0,0,0,0,
1.2,2025-08-27T00:00:01.200000000+02:00,Mig-29 FF - 12000m - 2xR27ER 4xR73,-7564.680660547,11990.420580168,457735.12404174,-0.012479382567108,1.6359939575195,-0.017708163708448,11990.485351562,249.32136535645,125.90153521036,897.5569152832,453.24552675731,-10.758442878723,1.7582430839539,0.28796827793121,-0.0066286716610193,0.0012226073304191,0.84500636561094,0.99893534183502,-256.03863525391,-256.03863525391,87.220138549805,87.335235595703,0,0,0,0,0,0,0,
1.4,2025-08-27T00:00:01.400000000+02:00,Mig-29 FF - 12000m - 2xR27ER 4xR73,-7567.9451061252,11988.121349557,457784.83647824,-0.016565630212426,1.6357078552246,-0.02637655287981,11988.145507812,249.41311645508,125.97106809141,897.88721923828,453.49584512907,-12.1632604599,1.8464639186859,0.30318340659142,0.024340299889445,0.0011259227758273,0.84531739422151,0.9989230632782,-246.66136169434,-246.66136169434,87.912803649902,88.033714294434,0,0,0,0,0,0,0,
1.6,2025-08-27T00:00:01.600000000+02:00,Mig-29 FF - 12000m - 2xR27ER 4xR73,-7571.2075452139,11985.549914172,457834.56116507,-0.019735740497708,1.635377407074,-0.033470701426268,11985.603515625,249.57316589355,126.07703408265,898.4633972168,453.87732269754,-13.494188308716,1.9692894220352,0.33162713050842,0.05720541253686,0.00071229611057788,0.84585976991142,0.99890583753586,-234.60420227051,-234.60420227051,88.599273681641,88.720344543457,0,0,0,0,0,0,0,
1.8,2025-08-27T00:00:01.800000000+02:00,Mig-29 FF - 12000m - 2xR27ER 4xR73,-7574.4675577548,11982.715640476,457884.31151296,-0.02226341702044,1.6350302696228,-0.038562647998333,11982.8046875,249.80276489258,126.22075755224,899.28995361328,454.39472718805,-14.773788452148,2.1159334182739,0.35108828544617,0.089460641145706,0.00069020560476929,0.84663791821435,0.99888247251511,-219.73413085938,-219.73413085938,89.256546020508,89.373336791992,0,0,0,0,0,0,0,
