modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,traveledDistance,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7611.2877715373,11998.125355139,457424.79878712,0.005174501799047,1.6360363960266,6.6124789555033e-07,11998.13671875,249.89785766602,126.11682196699,899.63228759766,454.02055908117,-1.8305377960205,0.71618068218231,0.11243052780628,-0.075179189443588,-3.5529705201043e-05,0.84696024331724,0,0.9989612698555,-273.13452148438,-273.13452148438,85.000160217285,85.000183105469,0,0,0,0,0,0,0,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7614.545502627,11997.598697789,457474.6553418,0.0078080324456096,1.6359543800354,-5.0237067625858e-06,11997.60546875,249.76747131348,126.05627425896,899.16289672852,453.80258733225,-3.3618404865265,1.2185850143433,0.19966550171375,-0.070065416395664,-0.00035105179995298,0.84651833191432,0,0.99895846843719,-272.94961547852,-272.94961547852,85.045066833496,85.049575805664,0,0,0,0,0,0,0,
0.4,2025-08-27T00:00:00.400000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7617.8012947769,11996.762284012,457524.48414308,0.0059955841861665,1.6359024047852,-4.8682271881262e-05,11996.782226562,249.66111755371,126.01076742585,898.78002319336,453.63876273307,-4.9342985153198,1.4759886264801,0.23179706931114,-0.06233187392354,-0.00049253948964179,0.84615787285972,49.942058502158,0.99895596504211,-272.2678527832,-272.2678527832,85.195106506348,85.214645385742,0,0,0,0,0,0,0,
0.6,2025-08-27T00:00:00.600000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7621.0552921908,11995.624880109,457574.28836883,0.0051859528757632,1.6358799934387,-0.00012553768465295,11995.663085938,249.58251953125,125.98214952968,898.4970703125,453.53573830685,-6.349841594696,1.7550022602081,0.28982469439507,-0.048705693334341,-0.00053119513904676,0.84589139619813,99.86543067564,0.99895316362381,-270.6689453125,-270.6689453125,85.493240356445,85.5419921875,0,0,0,0,0,0,0,
0.8,2025-08-27T00:00:00.800000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7624.3078242766,11994.209062655,457624.07339822,0.0035966134164482,1.6358904838562,-0.0002275289298268,11994.224609375,249.53981018066,125.97484022074,898.34331665039,453.50942479467,-7.7383799552917,1.9831341505051,0.32335036993027,-0.030251020565629,-0.00045141254668124,0.84574673286928,149.77667845667,0.99894940853119,-267.70611572266,-267.70611572266,85.952667236328,86.028900146484,0,0,0,0,0,0,0,
1,2025-08-27T00:00:01.000000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7627.5593943667,11992.528986525,457673.84670025,0.0026801195926964,1.6359281539917,-0.00032982582342811,11992.565429688,249.54597473145,125.99437632507,898.3655090332,453.57975477027,-9.0046377182007,2.2214758396149,0.37570098042488,-0.005179095081985,-0.00028084800578654,0.84576764644541,199.68436282516,0.99894368648529,-262.95358276367,-262.95358276367,86.529579162598,86.624351501465,0,0,0,0,0,0,0,
1.2,2025-08-27T00:00:01.200000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7630.8106930527,11990.603734264,457723.61818051,0.0013890109257773,1.6359820365906,-0.0004167701699771,11990.665039062,249.60871887207,126.04485983905,898.59138793945,453.76149542059,-10.175998687744,2.4160554409027,0.41088175773621,0.024767361581326,-6.7872140789405e-05,0.84598029216107,249.59906793661,0.99893468618393,-256.03863525391,-256.03863525391,87.176528930664,87.282218933105,0,0,0,0,0,0,0,
1.4,2025-08-27T00:00:01.400000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7634.0625659284,11988.447720894,457773.39977034,-0.00011846232519019,1.6360511779785,-0.00047401073970832,11988.470703125,249.74122619629,126.1335050847,899.06841430664,454.08061830493,-11.327768325806,2.5929265022278,0.43484988808632,0.057900238782167,0.00018876639660448,0.8464293010077,299.53332228072,0.99892109632492,-246.66136169434,-246.66136169434,87.854415893555,87.964752197266,0,0,0,0,0,0,0,
1.6,2025-08-27T00:00:01.600000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7637.3159501624,11986.070502146,457823.20456089,0.00050732091767713,1.6361150741577,-0.00048423526459374,11986.120117188,249.9398651123,126.25716222536,899.7835144043,454.52578401129,-12.396027565002,2.8718745708466,0.48458710312843,0.094041414558887,0.00041169667383656,0.8471026448284,349.50084013397,0.99890142679214,-234.60420227051,-234.60420227051,88.532012939453,88.641960144043,0,0,0,0,0,0,0,
1.8,2025-08-27T00:00:01.800000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7640.5718309664,11983.49323132,457873.04660196,0.0028816177509725,1.6361413002014,-0.00044464634265751,11983.573242188,250.20556640625,126.4166598319,900.7400390625,455.09997539486,-13.313785552979,3.2153296470642,0.54999279975891,0.13113637268543,0.00047889104462229,0.84800316865188,399.51555939411,0.99887448549271,-219.73413085938,-219.73413085938,89.185279846191,89.290946960449,0,0,0,0,0,0,0,
2,2025-08-27T00:00:02.000000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7643.8311334233,11980.739973539,457922.93973371,0.0077908635139465,1.6361145973206,-0.00036807870492339,11980.768554688,250.54447937012,126.61581552428,901.96012573242,455.8169358874,-14.171905517578,3.6890151500702,0.60814851522446,0.16670839488506,0.00035783756175078,0.84915186649225,449.59078356796,0.99883902072906,-201.99917602539,-201.99917602539,89.796585083008,89.895133972168,0,0,0,0,0,0,0,
2.2,2025-08-27T00:00:02.200000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7647.0946338436,11977.839872531,457972.89672102,0.017760142683983,1.6359963417053,-0.0002903716522269,11977.899414062,250.92680358887,126.83760946652,903.33649291992,456.61539407946,-14.773571014404,4.3928804397583,0.76729226112366,0.20818230509758,-8.7671789515298e-05,0.85044756095255,499.73818233083,0.99879419803619,-181.42106628418,-181.42106628418,90.353866577148,90.443351745605,0,0,0,0,0,0,0,
2.4,2025-08-27T00:00:02.400000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7650.3629602898,11974.853356711,458022.93014975,0.027962438762188,1.6357688903809,-0.00026798760518432,11974.943359375,251.34864807129,127.0803619046,904.85513305664,457.48930285656,-15.041857719421,5.0330262184143,0.91844910383224,0.24767976999283,-0.00088333257008344,0.85187732937299,549.96711049949,0.99873942136765,-158.08535766602,-158.08535766602,90.849670410156,90.928909301758,0,0,0,0,0,0,0,
2.6,2025-08-27T00:00:02.600000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7653.6364568506,11971.833890295,458073.05043063,0.035880669951439,1.6354765892029,-0.00038708516512997,11971.864257812,251.81640625,127.34764378261,906.5390625,458.45151761738,-15.143707275391,5.5035500526428,0.97134655714035,0.27491456270218,-0.0018091395031661,0.85346267970083,600.28485599904,0.9986743927002,-132.13026428223,-132.13026428223,91.280464172363,91.348907470703,0,0,0,0,0,0,0,
2.8,2025-08-27T00:00:02.800000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7656.9151665468,11968.810821817,458123.26478331,0.045276574790478,1.6351728439331,-0.00069496664218605,11968.87109375,252.29351806641,127.61893330786,908.25666503906,459.42815990829,-15.064428329468,6.0173516273499,1.0893807411194,0.3055811226368,-0.0026467288844287,0.85507965746841,650.69685948293,0.99859881401062,-103.7349319458,-103.7349319458,91.646026611328,91.703643798828,0,0,0,0,0,0,0,
3,2025-08-27T00:00:03.000000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7660.1989687646,11965.828200574,458173.57931217,0.05432441085577,1.6348633766174,-0.0012288362486288,11965.916992188,252.78219604492,127.89579034267,910.01590576172,460.4248452336,-14.758487701416,6.4597039222717,1.1847795248032,0.33071368932724,-0.0033647960517555,0.85673589485458,701.20657341242,0.99851280450821,-73.108139038086,-73.108139038086,91.948524475098,91.99568939209,0,0,0,0,0,0,0,
3.2,2025-08-27T00:00:03.200000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7663.4875293792,11962.924071547,458223.99795919,0.062225479632616,1.6345753669739,-0.0020239534787834,11962.953125,253.29124450684,128.18321291195,911.84848022461,461.45956648303,-14.291700363159,6.7999730110168,1.2479062080383,0.34880119562149,-0.0038374040741473,0.85846130182413,751.81574811088,0.99841660261154,-40.4775390625,-40.4775390625,92.191986083984,92.229347229004,0,0,0,0,0,0,0,
3.4,2025-08-27T00:00:03.400000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7666.7803489947,11960.1251692,458274.5225127,0.069376714527607,1.6343474388123,-0.0029998584650457,11960.1796875,253.78541564941,128.46126400373,913.62749633789,462.46055041342,-13.706478118896,7.0711646080017,1.3082587718964,0.36363068223,-0.0039641768671572,0.86013613444017,802.52479091929,0.99831068515778,-6.0801119804382,-6.0801119804382,92.381706237793,92.410140991211,0,0,0,0,0,0,0,
3.6,2025-08-27T00:00:03.600000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7670.0768404745,11957.455936126,458325.15359434,0.075770653784275,1.6341776847839,-0.0041194558143616,11957.534179688,254.27499389648,128.73584408358,915.38997802734,463.44903870087,-13.015433311462,7.2757048606873,1.3537580966949,0.3739538192749,-0.0037761065177619,0.86179542313443,853.33323597923,0.99819535017014,29.846172332764,29.846172332764,92.523803710938,92.544326782227,0,0,0,0,0,0,0,
3.8,2025-08-27T00:00:03.800000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7673.3763687238,11954.935438827,458375.89062982,0.081607788801193,1.6340613365173,-0.0053423810750246,11954.959960938,254.77140808105,129.01324634024,917.1770690918,464.44768682485,-12.218034744263,7.424955368042,1.3900074958801,0.38081389665604,-0.0033031492494047,0.86347789069482,904.23988154606,0.99807131290436,67.069259643555,67.069259643555,92.624786376953,92.638442993164,0,0,0,0,0,0,0,
4,2025-08-27T00:00:04.000000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7676.6782950325,11952.577883689,458426.7319454,0.086557149887085,1.6339955329895,-0.0065124183893204,11952.623046875,255.24340820312,129.27600348991,918.87626953125,465.39361256367,-11.382454872131,7.5157260894775,1.4144552946091,0.38433903455734,-0.002658169483766,0.86507756070957,955.2428241391,0.99793910980225,105.36854553223,105.36854553223,92.691230773926,92.699089050293,0,0,0,0,0,0,0,
4.2,2025-08-27T00:00:04.200000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7679.9820225336,11950.39364944,458477.67539429,0.090828828513622,1.6339616775513,-0.0075899846851826,11950.45703125,255.70452880859,129.53159404556,920.53630371094,466.31373856403,-10.505077362061,7.5591011047363,1.4310127496719,0.38540062308311,-0.0019306977046654,0.86664051141732,1006.3399911767,0.99779957532883,144.53904724121,144.53904724121,92.729515075684,92.732612609863,0,0,0,0,0,0,0,
4.4,2025-08-27T00:00:04.400000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7683.2870199451,11948.390099977,458528.71850121,0.09422978758812,1.633945941925,-0.0085436524823308,11948.409179688,256.1682434082,129.78734492588,922.20567626953,467.23444173317,-9.5670042037964,7.5397043228149,1.4475260972977,0.38544455170631,-0.0011925041908398,0.86821209692462,1057.5292086252,0.9976532459259,184.39431762695,184.39431762695,92.745635986328,92.744941711426,0,0,0,0,0,0,0,
4.6,2025-08-27T00:00:04.600000000+02:00,Mig-29 FF - 12000m - 2xR27ER,-7686.5928592423,11946.571033572,458579.85870301,0.095349229872227,1.6339554786682,-0.0092822453007102,11946.60546875,256.61019897461,130.02971096481,923.79671630859,468.10695947333,-8.6643867492676,7.3984498977661,1.4163151979446,0.37830331921577,-0.00053611793555319,0.86971000967076,1108.8084228879,0.99750089645386,224.76821899414,224.76821899414,92.745086669922,92.741470336914,0,0,0,0,0,0,0,
