modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,traveledDistance,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FF - 12000m - 2xR73,-7624.7880073731,11998.124948858,457423.73599738,0.0051881796680391,1.6360211372375,7.941960120661e-07,11998.135742188,249.8939666748,126.11486978587,899.6182800293,454.01353122913,-1.8326487541199,0.71745485067368,0.11679597198963,-0.077868536114693,-3.5906959965359e-05,0.84694703306415,0,0.9989612698555,-273.13452148438,-273.13452148438,85.000160217285,85.000183105469,0,0,0,0,0,0,0,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FF - 12000m - 2xR73,-7628.0448788367,11997.601136339,457473.5912755,0.00713264150545,1.6359391212463,-5.3254379963619e-06,11997.607421875,249.75805664062,126.05152717999,899.12900390625,453.78549784796,-3.3282532691956,1.1722111701965,0.2078955322504,-0.072617545723915,-0.00036480237031356,0.84648645337917,0,0.99895846843719,-272.94961547852,-272.94961547852,85.045066833496,85.049575805664,0,0,0,0,0,0,0,
0.4,2025-08-27T00:00:00.400000000+02:00,Mig-29 FF - 12000m - 2xR73,-7631.2997507231,11996.770661118,457523.41786531,0.0031462537590414,1.6359028816223,-5.1391798479017e-05,11996.790039062,249.64692687988,126.00351838766,898.72893676758,453.61266619556,-4.9106192588806,1.3073627948761,0.21898925304413,-0.065363012254238,-0.00044764421181753,0.84610970782592,49.939692947823,0.99895596504211,-272.2678527832,-272.2678527832,85.195106506348,85.214645385742,0,0,0,0,0,0,0,
0.6,2025-08-27T00:00:00.600000000+02:00,Mig-29 FF - 12000m - 2xR73,-7634.5528188734,11995.632198304,457573.21893077,-0.0003964374482166,1.6359143257141,-0.00045688584214076,11995.670898438,249.56510925293,125.9732884969,898.43439331055,453.50383858886,-6.3946642875671,1.445552110672,0.22547833621502,-0.053172044456005,-0.00030737119959667,0.84583239929082,99.859875956534,0.99895316362381,-270.6689453125,-270.6689453125,85.493240356445,85.5419921875,0,0,0,0,0,0,0,
0.8,2025-08-27T00:00:00.800000000+02:00,Mig-29 FF - 12000m - 2xR73,-7637.8045456437,11994.191356421,457622.99964922,-0.001318568829447,1.6359276771545,-0.0025168908759952,11994.20703125,249.52142333984,125.96573764177,898.27712402344,453.47665551036,-7.9426803588867,1.7485877275467,0.25120303034782,-0.034580692648888,0.000760059338063,0.84568442345725,149.76748741669,0.99894940853119,-267.70611572266,-267.70611572266,85.952690124512,86.028915405273,0,0,0,0,0,0,0,
1,2025-08-27T00:00:01.000000000+02:00,Mig-29 FF - 12000m - 2xR73,-7641.055338783,11992.46453409,457672.76768694,0.003063898999244,1.6358280181885,-0.0061982199549675,11992.501953125,249.52778625488,125.98584266085,898.30003051758,453.54903357904,-9.2497968673706,2.2999672889709,0.38618093729019,-0.0053294128738344,0.00026127573801205,0.8457059692628,199.67146671551,0.99894368648529,-262.95358276367,-262.95358276367,86.529663085938,86.624397277832,0,0,0,0,0,0,0,
1.2,2025-08-27T00:00:01.200000000+02:00,Mig-29 FF - 12000m - 2xR73,-7644.3051370422,11990.498940889,457722.53388061,0.0083141084760427,1.6356258392334,-0.0088037773966789,11990.560546875,249.58920288086,126.03604766516,898.52113037109,453.72977159459,-10.31858921051,2.8458518981934,0.51064270734787,0.030827693641186,0.00020884345576633,0.84591415775713,249.58237512092,0.99893468618393,-256.03863525391,-256.03863525391,87.176605224609,87.282249450684,0,0,0,0,0,0,0,
1.4,2025-08-27T00:00:01.400000000+02:00,Mig-29 FF - 12000m - 2xR73,-7647.553945201,11988.340312127,457772.31118863,0.011676923371851,1.6353669166565,-0.010557909496129,11988.362304688,249.71719360352,126.12243879187,898.98189697266,454.04077965072,-11.217396736145,3.2438261508942,0.57831126451492,0.06841392070055,-4.81265669805e-05,0.84634784820623,299.51227423682,0.99892109632492,-246.66136169434,-246.66136169434,87.854278564453,87.96452331543,0,0,0,0,0,0,0,
1.6,2025-08-27T00:00:01.600000000+02:00,Mig-29 FF - 12000m - 2xR73,-7650.8019020561,11986.021622492,457822.11365441,0.011909568682313,1.6351289749146,-0.011702404357493,11986.069335938,249.90965270996,126.24243171546,899.67474975586,454.47275417566,-11.938359260559,3.4207475185394,0.61990630626678,0.10564006119967,-0.00035889097489417,0.84700021490909,349.47437130879,0.99890142679214,-234.60420227051,-234.60420227051,88.531364440918,88.64119720459,0,0,0,0,0,0,0,
1.8,2025-08-27T00:00:01.800000000+02:00,Mig-29 FF - 12000m - 2xR73,-7654.0494237028,11983.551202665,457871.95507897,0.012644262984395,1.634913444519,-0.01251866389066,11983.627929688,250.17070007324,126.39851963735,900.61452026367,455.03467069445,-12.725210189819,3.6405081748962,0.62614405155182,0.14036083221436,-0.00055900443112478,0.84788498508036,399.48254036629,0.99887448549271,-219.73413085938,-219.73413085938,89.183891296387,89.289436340332,0,0,0,0,0,0,0,
