modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7522.6952327037,11998.126898953,457437.66874427,0.005245060659945,1.6367831230164,4.908137611892e-07,11998.137695312,249.86274719238,126.09908236717,899.50588989258,453.95669652183,-1.8219257593155,0.71830743551254,0.09749985486269,-0.10019590705633,-2.7355948986951e-05,0.84684120985459,0.9989612698555,-273.13452148438,-273.13452148438,85.000160217285,85.000183105469,0,0,0,0,0,0,0,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7525.9893433842,11997.597733166,457487.51064565,0.007606859318912,1.6367077827454,-3.3058249755413e-06,11997.604492188,249.6827545166,126.01353129372,898.85791625977,453.64871265741,-3.3890504837036,1.2135648727417,0.18606469035149,-0.095248736441135,-0.0002839875232894,0.8462311958559,0.99895846843719,-272.94961547852,-272.94961547852,85.045066833496,85.049575805664,0,0,0,0,0,0,0,
0.4,2025-08-27T00:00:00.400000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7529.2808765073,11996.751439564,457537.31500687,0.0037686447612941,1.6366677284241,-3.3234482543776e-05,11996.771484375,249.52813720703,125.94374013072,898.30129394531,453.39746447061,-5.0086617469788,1.3660762310028,0.19400082528591,-0.088962249457836,-0.0003710831515491,0.84570710022575,0.99895596504211,-272.2678527832,-272.2678527832,85.195106506348,85.214645385742,0,0,0,0,0,0,0,
0.6,2025-08-27T00:00:00.600000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7532.569978167,11995.588444253,457587.08457235,0.00020435688202269,1.6366758346558,-8.5569263319485e-05,11995.627929688,249.40063476562,125.89071364537,897.84228515625,453.20656912333,-6.5303778648376,1.5121297836304,0.22236768901348,-0.077916227281094,-0.0003158905019518,0.84527496607885,0.99895316362381,-270.6689453125,-270.6689453125,85.493240356445,85.541984558105,0,0,0,0,0,0,0,
0.8,2025-08-27T00:00:00.800000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7535.8569773912,11994.119786754,457636.82400386,-0.0045832982286811,1.6367373466492,-0.00014864622789901,11994.135742188,249.30613708496,125.85776507214,897.50209350586,453.08795425972,-8.0847511291504,1.5957677364349,0.22558392584324,-0.062941186130047,-0.00010133434261661,0.84495474946956,0.99894940853119,-267.70611572266,-267.70611572266,85.952461242676,86.028602600098,0,0,0,0,0,0,0,
1,2025-08-27T00:00:01.000000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7539.1423723524,11992.349196412,457686.53972065,-0.0086963465437293,1.636839389801,-0.00019659100507852,11992.387695312,249.25970458984,125.85159166233,897.33493652344,453.06572998439,-9.5618667602539,1.7002012729645,0.2483638972044,-0.042445439845324,0.00022410851670429,0.84479731426273,0.99894368648529,-262.95358276367,-262.95358276367,86.528831481934,86.623420715332,0,0,0,0,0,0,0,
1.2,2025-08-27T00:00:01.200000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7542.4268401173,11990.283990262,457736.24018574,-0.012652547098696,1.6369671821594,-0.00020787386165466,11990.349609375,249.26658630371,125.8752368535,897.35971069336,453.15085267261,-11.00680065155,1.805878162384,0.26114585995674,-0.017559641972184,0.00060546182794496,0.84482068633826,0.99893468618393,-256.03863525391,-256.03863525391,87.174949645996,87.280410766602,0,0,0,0,0,0,0,
1.4,2025-08-27T00:00:01.400000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7545.7112008518,11987.929773632,457785.9356059,-0.015612083487213,1.6371054649353,-0.0001596947258804,11987.955078125,249.3367767334,125.93434864745,897.61239624023,453.36365513083,-12.464531898499,1.9709438085556,0.28212159872055,0.010810776613653,0.00099642958957702,0.84505862550818,0.99892109632492,-246.66136169434,-246.66136169434,87.851715087891,87.961784362793,0,0,0,0,0,0,0,
1.6,2025-08-27T00:00:01.600000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7548.9963610883,11985.295655369,457835.63747771,-0.016357844695449,1.6372175216675,-4.051888390677e-05,11985.350585938,249.4695892334,126.02721147531,898.09052124023,453.69796131111,-13.827042579651,2.2400538921356,0.31010857224464,0.04082852602005,0.0012827136088163,0.84550874668126,0.99890142679214,-234.60420227051,-234.60420227051,88.52791595459,88.637557983398,0,0,0,0,0,0,0,
1.8,2025-08-27T00:00:01.800000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7552.2832370953,11982.394792988,457885.3578264,-0.012807125225663,1.6372718811035,0.00015180499758571,11982.485351562,249.66427612305,126.15397213493,898.79139404297,454.15429968574,-15.098973274231,2.7334086894989,0.38818627595901,0.073300391435623,0.0013615002389997,0.84616858779398,0.99887448549271,-219.73413085938,-219.73413085938,89.179489135742,89.284828186035,0,0,0,0,0,0,0,
2,2025-08-27T00:00:02.000000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7555.57270569,11979.256343878,457935.10916348,-0.004184571094811,1.6372208595276,0.0004109158180654,11979.2890625,249.9229888916,126.31643402709,899.72276000977,454.73916249751,-16.22336769104,3.4821348190308,0.48677694797516,0.10665816813707,0.0010843453928828,0.84704546447317,0.99883902072906,-201.99917602539,-201.99917602539,89.788757324219,89.886978149414,0,0,0,0,0,0,0,
2.2,2025-08-27T00:00:02.200000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7558.8654841584,11975.921990963,457984.9033197,0.010956490412354,1.6370310783386,0.00067720114020631,11975.990234375,250.21922302246,126.49889198638,900.78920288086,455.39601115095,-17.068702697754,4.5392360687256,0.6502098441124,0.14440022408962,0.00035828916588798,0.84804935646921,0.99879425764084,-181.42106628418,-181.42106628418,90.343536376953,90.43270111084,0,0,0,0,0,0,0,
2.4,2025-08-27T00:00:02.400000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7562.1621081635,11972.460899767,458034.75159278,0.030508929863572,1.6366667747498,0.00088232569396496,11972.565429688,250.54148864746,126.69592074577,901.94935913086,456.10531468478,-17.463148117065,5.7448716163635,0.92175763845444,0.19348207116127,-0.00088776752818376,0.84914167856658,0.99873954057693,-158.08535766602,-158.08535766602,90.836143493652,90.915092468262,0,0,0,0,0,0,0,
2.6,2025-08-27T00:00:02.600000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7565.4628927074,11968.967304885,458084.6644749,0.043120790272951,1.6361565589905,0.00090402219211683,11969.001953125,250.88816833496,126.90675287742,903.19740600586,456.86431035871,-17.459949493408,6.4611887931824,1.024773478508,0.22409765422344,-0.0024425417650491,0.85031667054728,0.99867451190948,-132.13026428223,-132.13026428223,91.262649536133,91.330825805664,0,0,0,0,0,0,0,
2.8,2025-08-27T00:00:02.800000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7568.7676987259,11965.488098342,458134.64814407,0.048959411680698,1.635669708252,0.00062604394042864,11965.557617188,251.2406463623,127.11944672378,904.4663269043,457.63000820561,-17.31640625,6.7572927474976,1.1096992492676,0.24943234026432,-0.0037141477223486,0.85151122401775,0.99859899282455,-103.7349319458,-103.7349319458,91.622627258301,91.680015563965,0,0,0,0,0,0,0,
3,2025-08-27T00:00:03.000000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7572.0762547152,11962.046582099,458184.7079041,0.048098348081112,1.6352987289429,-2.2601398086408e-06,11962.149414062,251.61323547363,127.34206258012,905.80764770508,458.43142528845,-17.125560760498,6.6585788726807,1.0652294158936,0.25523412227631,-0.0044829891994596,0.85277407419648,0.99851304292679,-73.108139038086,-73.108139038086,91.918594360352,91.965576171875,0,0,0,0,0,0,0,
3.2,2025-08-27T00:00:03.200000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7575.3882361541,11958.633306998,458234.8476009,0.045378029346466,1.6351161003113,-0.00096642627613619,11958.666992188,252.02111816406,127.58335459178,907.27602539063,459.3000765304,-17.020042419434,6.4724321365356,1.0258363485336,0.25887933373451,-0.0045397002249956,0.85415645664109,0.99841690063477,-40.4775390625,-40.4775390625,92.155265808105,92.192512512207,0,0,0,0,0,0,0,
3.4,2025-08-27T00:00:03.400000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7578.7034521655,11955.236983367,458285.07057345,0.042837060987949,1.6351270675659,-0.0021057892590761,11955.3046875,252.4356842041,127.82699111638,908.76846313477,460.17716801899,-16.943069458008,6.3030514717102,1.0211111307144,0.26408240199089,-0.003953330218792,0.85556153008756,0.99831104278564,-6.0801119804382,-6.0801119804382,92.338638305664,92.367012023926,0,0,0,0,0,0,0,
3.6,2025-08-27T00:00:03.600000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7582.0218730946,11951.851220117,458335.37978065,0.039020247757435,1.6353011131287,-0.0033227822277695,11951.953125,252.86491394043,128.07808862613,910.31369018555,461.08111905408,-16.921072006226,6.0728716850281,0.98207980394363,0.26293602585793,-0.0028923584613949,0.85701646709507,0.99819594621658,29.846172332764,29.846172332764,92.475303649902,92.495765686035,0,0,0,0,0,0,0,
3.8,2025-08-27T00:00:03.800000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7585.3436076232,11948.462137537,458385.77702829,0.034880433231592,1.6356101036072,-0.0045101465657353,11948.49609375,253.31936645508,128.34311935917,911.94971923828,462.03522969301,-16.969360351562,5.8397016525269,0.95404499769211,0.2611426115036,-0.0014630642253906,0.85855669892676,0.99807196855545,67.069259643555,67.069259643555,92.572128295898,92.585723876953,0,0,0,0,0,0,0,
4,2025-08-27T00:00:04.000000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7588.6689007041,11945.057102786,458436.26335792,0.030733181163669,1.6359829902649,-0.0054718824103475,11945.125,253.76887512207,128.6049124638,913.56795043945,462.97768486967,-17.084184646606,5.6211490631104,0.91107541322708,0.25634068250656,4.5453638449544e-05,0.86008011919023,0.99794006347656,105.36854553223,105.36854553223,92.635887145996,92.643669128418,0,0,0,0,0,0,0,
4.2,2025-08-27T00:00:04.200000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7591.9981066054,11941.621025521,458486.83903376,0.028251016512513,1.6363577842712,-0.0061516291461885,11941.724609375,254.22277832031,128.86937327571,915.20200195312,463.92974379257,-17.267629623413,5.5133271217346,0.89483815431595,0.25335502624512,0.0014675384154543,0.86161851831503,0.99780070781708,144.53904724121,144.53904724121,92.673004150391,92.676010131836,0,0,0,0,0,0,0,
4.4,2025-08-27T00:00:04.400000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7595.3315886534,11938.146902376,458537.50391332,0.028224136680365,1.6366662979126,-0.006504631601274,11938.181640625,254.68925476074,129.1417789604,916.88131713867,464.91040425743,-17.465354919434,5.5490913391113,0.89604949951172,0.25138080120087,0.0026028531137854,0.86319948400673,0.99765461683273,184.39431762695,184.39431762695,92.689353942871,92.688552856445,0,0,0,0,0,0,0,
4.6,2025-08-27T00:00:04.600000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7598.669596749,11934.637338896,458588.25718854,0.031149346381426,1.6368269920349,-0.0065101063810289,11934.708007812,255.13510131836,129.40313014751,918.48636474609,465.85126853104,-17.615924835205,5.7436337471008,0.94361919164658,0.25380858778954,0.0031949398107827,0.86471056624881,0.99750250577927,224.76821899414,224.76821899414,92.690071105957,92.686363220215,0,0,0,0,0,0,0,
4.8,2025-08-27T00:00:04.800000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7602.0122096379,11931.109047896,458639.09813596,0.035008508712053,1.6368284225464,-0.006225636228919,11931.21484375,255.56938171387,129.65900004175,920.04977416992,466.77240015029,-17.657936096191,5.967453956604,0.98841345310211,0.25566843152046,0.0032022302038968,0.86618246491215,0.99734497070312,265.50994873047,265.50994873047,92.679565429688,92.673721313477,0,0,0,0,0,0,0,
5,2025-08-27T00:00:05.000000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7605.3593421867,11927.580161783,458690.02556673,0.038778614252806,1.636682510376,-0.0057196677662432,11927.615234375,256.00350952148,129.91594998495,921.61263427734,467.6974199458,-17.625871658325,6.1696076393127,1.0260497331619,0.25648447871208,0.0026774711441249,0.86765385113048,0.9971826672554,305.49966430664,305.49966430664,92.653221130371,92.647117614746,0,0,0,0,0,0,0,
5.2,2025-08-27T00:00:05.200000000+02:00,Mig-29 FF - 12000m - 6xFAB-500,-7608.7107720919,11924.065326019,458741.03764439,0.042346723377705,1.636426448822,-0.0051356200128794,11924.135742188,256.41052246094,130.15809390518,923.07788085938,468.56913805863,-17.52105140686,6.3443846702576,1.0602520704269,0.25733757019043,0.0017784201772884,0.86903330622866,0.99701619148254,343.68786621094,343.68786621094,92.627265930176,92.621841430664,0,0,0,0,0,0,0,
