modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FF - 12000m - 6xR-60m,-7512.6818975992,11998.125086857,457437.88775428,0.0052261268720031,1.6368522644043,8.6940150367809e-07,11998.135742188,249.86885070801,126.10220671959,899.52786254883,453.96794419052,-1.8318320512772,0.71948403120041,0.11614307761192,-0.095620788633823,-3.4396758564981e-05,0.84686199197079,0.9989612698555,-273.13452148438,-273.13452148438,85.000160217285,85.000183105469,0,0,0,0,0,0,0,
0.2,2025-08-27T00:00:00.200000000+02:00,Mig-29 FF - 12000m - 6xR-60m,-7515.9796236467,11997.601348441,457487.73162357,0.0073321722447872,1.6367702484131,-4.939169230056e-06,11997.608398438,249.69760131836,126.02097962101,898.91136474609,453.67552663565,-3.326958656311,1.1835312843323,0.21055619418621,-0.09017625451088,-0.00036228983663023,0.84628151418732,0.99895846843719,-272.94961547852,-272.94961547852,85.045066833496,85.049575805664,0,0,0,0,0,0,0,
0.4,2025-08-27T00:00:00.400000000+02:00,Mig-29 FF - 12000m - 6xR-60m,-7519.2748717752,11996.771531042,457537.53992112,0.0034034601412714,1.6367316246033,-4.9741411203286e-05,11996.791015625,249.55226135254,125.95573502483,898.38814086914,453.44064608938,-4.9058699607849,1.3214366436005,0.22032296657562,-0.082882307469845,-0.00045209552627057,0.84578884403038,0.99895596504211,-272.2678527832,-272.2678527832,85.195106506348,85.214645385742,0,0,0,0,0,0,0,
0.6,2025-08-27T00:00:00.600000000+02:00,Mig-29 FF - 12000m - 6xR-60m,-7522.5678133656,11995.63488987,457587.31583834,-0.00025889222160913,1.6367468833923,-0.00012167070963187,11995.672851562,249.43627929688,125.90824432218,897.97060546875,453.26967955983,-6.3730840682983,1.449230670929,0.24939475953579,-0.070085257291794,-0.00035505671985447,0.84539576787822,0.99895316362381,-270.6689453125,-270.6689453125,85.493240356445,85.541984558105,0,0,0,0,0,0,0,
0.8,2025-08-27T00:00:00.800000000+02:00,Mig-29 FF - 12000m - 6xR-60m,-7525.8588441462,11994.203710912,457637.06481333,-0.0053307237103581,1.6368217468262,-0.00019840316963382,11994.219726562,249.3576965332,125.88293068308,897.68770751953,453.17855045907,-7.8695244789124,1.503080368042,0.25255900621414,-0.052500110119581,-5.0469730922487e-05,0.84512940052495,0.99894940853119,-267.70611572266,-267.70611572266,85.952522277832,86.028678894043,0,0,0,0,0,0,0,
1,2025-08-27T00:00:01.000000000+02:00,Mig-29 FF - 12000m - 6xR-60m,-7529.1485675655,11992.480564315,457686.79434182,-0.010129941627383,1.6369442939758,-0.00024156348081306,11992.517578125,249.33258056641,125.88711366743,897.59729003906,453.19360920275,-9.3076953887939,1.55896961689,0.26342430710793,-0.028881754726171,0.00040204590186477,0.84504442764026,0.99894368648529,-262.95358276367,-262.95358276367,86.529090881348,86.62370300293,0,0,0,0,0,0,0,
1.2,2025-08-27T00:00:01.200000000+02:00,Mig-29 FF - 12000m - 6xR-60m,-7532.4378016814,11990.469620889,457736.51424481,-0.014516168273985,1.6370935440063,-0.00022022511984687,11990.534179688,249.36845397949,125.92485762989,897.72643432617,453.32948746761,-10.718470573425,1.6317545175552,0.27993646264076,0.00051102077122778,0.00092109554680064,0.84516598992152,0.99893468618393,-256.03863525391,-256.03863525391,87.17554473877,87.28101348877,0,0,0,0,0,0,0,
1.4,2025-08-27T00:00:01.400000000+02:00,Mig-29 FF - 12000m - 6xR-60m,-7535.7275455153,11988.176205507,457786.23653648,-0.018298732116818,1.63725233078,-0.00010463764192536,11988.200195312,249.47813415527,126.00333221863,898.12128295898,453.61199598708,-12.146257400513,1.7422009706497,0.29751831293106,0.03370888531208,0.0014353186124936,0.84553769151039,0.99892109632492,-246.66136169434,-246.66136169434,87.852844238281,87.962882995605,0,0,0,0,0,0,0,
1.6,2025-08-27T00:00:01.600000000+02:00,Mig-29 FF - 12000m - 6xR-60m,-7539.0188954536,11985.607781958,457835.97468233,-0.020426217466593,1.6373839378357,0.00011085423466284,11985.662109375,249.65968322754,126.12018046149,898.77485961914,454.03264966135,-13.482775688171,1.9254100322723,0.33207005262375,0.069067485630512,0.0018155159195885,0.84615303583004,0.99890142679214,-234.60420227051,-234.60420227051,88.529762268066,88.639381408691,0,0,0,0,0,0,0,
1.8,2025-08-27T00:00:01.800000000+02:00,Mig-29 FF - 12000m - 6xR-60m,-7542.3129716785,11982.776818114,457885.7429145,-0.020453998818994,1.6374650001526,0.00042371003655717,11982.865234375,249.91427612305,126.27652651564,899.69139404297,454.59549545629,-14.754336357117,2.212658405304,0.36477145552635,0.10424163937569,0.0019777114503086,0.8470158906725,0.99887448549271,-219.73413085938,-219.73413085938,89.182350158691,89.287696838379,0,0,0,0,0,0,0,
2,2025-08-27T00:00:02.000000000+02:00,Mig-29 FF - 12000m - 6xR-60m,-7545.610828066,11979.700978939,457935.55547967,-0.016205780208111,1.6374626159668,0.00082118471618742,11979.732421875,250.2479095459,126.47621971654,900.89247436523,455.31439097955,-15.926321983337,2.7203967571259,0.47269198298454,0.14170372486115,0.0017861465457827,0.84814665280575,0.99883902072906,-201.99917602539,-201.99917602539,89.793060302734,89.891296386719,0,0,0,0,0,0,0,
2.2,2025-08-27T00:00:02.200000000+02:00,Mig-29 FF - 12000m - 6xR-60m,-7548.9134354253,11976.420589682,457985.42688708,-0.010004908777773,1.637348651886,0.0012339918175712,11976.48828125,250.63258361816,126.70293512244,902.27730102539,456.13056644077,-16.821649551392,3.2751886844635,0.59430414438248,0.1785215139389,0.0011620265431702,0.84945050051224,0.99879425764084,-181.42106628418,-181.42106628418,90.349891662598,90.439071655273,0,0,0,0,0,0,0,
2.4,2025-08-27T00:00:02.400000000+02:00,Mig-29 FF - 12000m - 6xR-60m,-7552.2215778107,11972.981102364,458035.37068641,-0.0037698629312217,1.6371402740479,0.0015967482468113,11973.0859375,251.06732177734,126.95664780771,903.84235839844,457.04393210777,-17.515314102173,3.7844140529633,0.69695693254471,0.2118966281414,0.00022171204909682,0.85092391481868,0.99873954057693,-158.08535766602,-158.08535766602,90.845542907715,90.924522399902,0,0,0,0,0,0,0,
2.6,2025-08-27T00:00:02.600000000+02:00,Mig-29 FF - 12000m - 6xR-60m,-7555.5358162524,11969.424963984,458085.39881435,0.0012647466501221,1.6368656158447,0.0018281512893736,11969.4609375,251.55824279785,127.24109011049,905.60967407227,458.06792439777,-18.00426864624,4.1766719818115,0.78422659635544,0.24092437326908,-0.00089370430214331,0.85258769417187,0.99867445230484,-132.13026428223,-132.13026428223,91.276679992676,91.344909667969,0,0,0,0,0,0,0,
2.8,2025-08-27T00:00:02.800000000+02:00,Mig-29 FF - 12000m - 6xR-60m,-7558.8564688856,11965.78355865,458135.52088103,0.0045884447172284,1.6366024017334,0.0018459770362824,11965.857421875,252.0697479248,127.53592530431,907.4510925293,459.12933109552,-18.390001296997,4.4466423988342,0.82029664516449,0.26223042607307,-0.0018585431389511,0.85432124010396,0.99859893321991,-103.7349319458,-103.7349319458,91.643180847168,91.700630187988,0,0,0,0,0,0,0,
3,2025-08-27T00:00:03.000000000+02:00,Mig-29 FF - 12000m - 6xR-60m,-7562.1836536576,11962.074164397,458185.74420514,0.0093656536191702,1.6363773345947,0.001637787441723,11962.186523438,252.60699462891,127.84462715023,909.38518066406,460.24065774082,-18.676832199097,4.7766613960266,0.88068187236786,0.28209334611893,-0.0025966404937208,0.85614212889262,0.99851298332214,-73.108139038086,-73.108139038086,91.947418212891,91.994453430176,0,0,0,0,0,0,0,
