modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,traveledDistance,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
0,2025-08-27T00:00:00.000000000+02:00,1000ASL 2xR-27R 2xR-60M,-284934.46875,998.30499267578,418541.96875,0,5.6360910534859,0,998.30499267578,83.333335876465,79.393959136242,300.00000915527,285.81825289047,0,0,1,0,0,0.24770164989416,0,0.34004738926888,-273.14999389648,-273.14999389648,85,85,0,0,0,0,0,0,0,
0.2,2025-08-27T00:00:00.200000000+02:00,1000ASL 2xR-27R 2xR-60M,-284922.10573552,998.12884395149,418532.62688754,0.0032862604130059,5.636084318161,5.6182341268141e-07,998.12884521484,83.298835754395,79.361777050673,299.87580871582,285.70239738242,-1.8613958358765,1.4687268733978,0.070402920246124,-0.035611998289824,-1.6015981600503e-05,0.24759861304527,15.49663026814,0.33649078011513,-273.13452148438,-273.13452148438,85.012321472168,85.013549804688,0,0,0,0,0,0,0,
0.4,2025-08-27T00:00:00.400000000+02:00,1000ASL 2xR-27R 2xR-60M,-284908.82246052,997.59096978218,418522.58962594,0.0068383235484362,5.6360263228416,-8.9735027586357e-07,997.59790039062,83.290145874023,79.355563781482,299.84452514648,285.68002961334,-3.4679639339447,2.7781295776367,0.2119894772768,-0.025519140064716,-0.00014864513650537,0.24757127358936,32.154400937463,0.33737993240356,-272.94961547852,-272.94961547852,85.09504699707,85.104537963867,0,0,0,0,0,0,0,
0.6,2025-08-27T00:00:00.600000000+02:00,1000ASL 2xR-27R 2xR-60M,-284895.54721494,996.74286449168,418512.55835703,0.0049422397278249,5.6359642148018,-2.6022053134511e-05,996.7626953125,83.324180603027,79.391242231691,299.9670501709,285.80847203409,-4.9501643180847,3.6890308856964,0.26129198074341,-0.013372199609876,-0.00024485695757903,0.2476700519873,48.81506670877,0.33737736940384,-272.2678527832,-272.2678527832,85.301414489746,85.331520080566,0,0,0,0,0,0,0,
0.8,2025-08-27T00:00:00.800000000+02:00,1000ASL 2xR-27R 2xR-60M,-284882.27610518,995.60560035727,418502.53009821,9.9951808806509e-05,5.6359496116638,-8.412245369982e-05,995.60559082031,83.410842895508,79.478318070631,300.27903442383,286.12194505427,-6.3704886436462,4.3859486579895,0.31253150105476,0.0048101744614542,-0.00022635157802142,0.24792428382371,65.487849885614,0.33737456798553,-270.6689453125,-270.6689453125,85.668167114258,85.734924316406,0,0,0,0,0,0,0,
1,2025-08-27T00:00:01.000000000+02:00,1000ASL 2xR-27R 2xR-60M,-284869.00299982,994.19914136377,418492.50022421,-0.0069049051962793,5.6360096335411,-0.00015698421339039,994.21447753906,83.554573059082,79.620704971007,300.7964630127,286.63453789563,-7.6611008644104,4.8652052879333,0.35249638557434,0.028703417629004,-5.5708194850013e-05,0.24834750148358,82.183712404342,0.33737081289291,-267.70611572266,-267.70611572266,86.217956542969,86.339683532715,0,0,0,0,0,0,0,
1.2,2025-08-27T00:00:01.200000000+02:00,1000ASL 2xR-27R 2xR-60M,-284855.71958521,992.5383727602,418482.46252882,-0.015954265370965,5.636158645153,-0.00021363394625951,992.57391357422,83.768608093262,79.83109381782,301.56698913574,287.39193774415,-8.8910226821899,5.1786150932312,0.37939274311066,0.05803731828928,0.00027150678215548,0.24897899110513,98.915794904964,0.33736506104469,-262.95358276367,-262.95358276367,86.96167755127,87.157783508301,0,0,0,0,0,0,0,
1.4,2025-08-27T00:00:01.400000000+02:00,1000ASL 2xR-27R 2xR-60M,-284842.41536569,990.63355496426,418472.40924369,-0.027212090790272,5.6364123821259,-0.00020656653214246,990.63354492188,84.075042724609,80.130746296387,302.67015380859,288.47068666699,-10.11435508728,5.3503623008728,0.39745911955833,0.092941991984844,0.00075119570828974,0.24988414511299,115.69968985398,0.33735609054565,-256.03863525391,-256.03863525391,87.89966583252,88.17488861084,0,0,0,0,0,0,0,
1.6,2025-08-27T00:00:01.600000000+02:00,1000ASL 2xR-27R 2xR-60M,-284829.07783471,988.49125957619,418462.33117638,-0.039825230836868,5.6367554068565,-8.1092155596707e-05,988.51379394531,84.468238830566,80.513862862268,304.08565979004,289.84990630417,-11.280982971191,5.3931336402893,0.40627121925354,0.13293989002705,0.0013860567705706,0.25104658914304,132.55337203659,0.33734238147736,-246.66136169434,-246.66136169434,88.991722106934,89.319915771484,0,0,0,0,0,0,0,
1.8,2025-08-27T00:00:01.800000000+02:00,1000ASL 2xR-27R 2xR-60M,-284815.69260069,986.113634077,418452.21782243,-0.053674127906561,5.6371847391129,0.00021709846623708,986.16339111328,84.967758178711,80.999335847431,305.88392944336,291.59760905075,-12.445541381836,5.3473429679871,0.40815603733063,0.17775371670723,0.0021089150104672,0.2525243756316,149.49732437411,0.33732214570045,-234.60420227051,-234.60420227051,90.165542602539,90.522888183594,0,0,0,0,0,0,0,
