modelTime,normalizedTime,aircraftType,x,y,z,pitch,heading,bank,altitudeAboveSeaLevel,trueAirSpeed,indicatedAirSpeed,trueAirSpeedKPH,indicatedAirSpeedKPH,verticalVelocity,angleOfAttack,accelerationUnits.y,accelerationUnits.x,accelerationUnits.z,machNumber,fuel_internal,Temperature_Left,Temperature_Right,RPM_Left,RPM_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,fuel_external,hydraulicPressure_Left,hydraulicPressure_Right,Fuel_Consuption_Left,Fuel_Consuption_Right,
0,2025-08-27T00:00:00.000000000+02:00,Aerial-1,-229998.203125,12098.3046875,360569.8125,0,8.6888911724091,0,12098.3046875,279.8088684082,140.10525150454,1007.3119262695,504.37890541634,0,0,1,0,0,0.9483349081261,0.48992890119553,-273.14999389648,-273.14999389648,85,85,0,0,0,0,0,0,0,
0.2,2025-08-27T00:00:00.200000000+02:00,Aerial-1,-230036.76625964,12098.122318857,360604.73433315,0.0071657206863165,2.4056906700134,1.2917776075483e-06,12098.122070312,279.56747436523,139.98638027347,1006.4429077148,503.95096898448,-1.8925520181656,0.79843628406525,0.15762379765511,-0.16553470492363,-6.8693894718308e-05,0.94751676570486,0.48726093769073,-273.13452148438,-273.13452148438,84.988265991211,84.987571716309,0,0,0,0,0,0,0,
0.4,2025-08-27T00:00:00.400000000+02:00,Aerial-1,-230078.18615491,12097.621113994,360642.24327671,0.014106445014477,2.4055676460266,-1.0438836397952e-05,12097.626953125,279.25891113281,139.83734754268,1005.3320800781,503.41445115365,-3.0249209403992,1.4288772344589,0.46032321453094,-0.15499836206436,-0.00080787076149136,0.94647116132694,0.4872582256794,-272.94961547852,-272.94961547852,84.937232971191,84.935638427734,0,0,0,0,0,0,0,
0.6,2025-08-27T00:00:00.600000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48725569248199,-272.2678527832,-272.2678527832,84.854621887207,84.85237121582,0,0,0,0,0,0,0,
0.8,2025-08-27T00:00:00.800000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48725318908691,-270.6689453125,-270.6689453125,84.750259399414,84.747581481934,0,0,0,0,0,0,0,
1,2025-08-27T00:00:01.000000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48725044727325,-267.70611572266,-267.70611572266,84.632804870605,84.629898071289,0,0,0,0,0,0,0,
1.2,2025-08-27T00:00:01.200000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48724722862244,-263.0749206543,-263.0749206543,84.534324645996,84.531326293945,0,0,0,0,0,0,0,
1.4,2025-08-27T00:00:01.400000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48724329471588,-257.92687988281,-257.92687988281,84.546646118164,84.544876098633,0,0,0,0,0,0,0,
1.6,2025-08-27T00:00:01.600000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48723870515823,-249.63220214844,-249.63220214844,84.629371643066,84.635856628418,0,0,0,0,0,0,0,
1.8,2025-08-27T00:00:01.800000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48723337054253,-235.48275756836,-235.48275756836,84.835731506348,84.862838745117,0,0,0,0,0,0,0,
2,2025-08-27T00:00:02.000000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48722693324089,-213.95266723633,-213.95266723633,85.202491760254,85.266052246094,0,0,0,0,0,0,0,
2.2,2025-08-27T00:00:02.200000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48721885681152,-184.43162536621,-184.43162536621,85.743507385254,85.843795776367,0,0,0,0,0,0,0,
2.4,2025-08-27T00:00:02.400000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48720806837082,-146.99395751953,-146.99395751953,86.415557861328,86.540626525879,0,0,0,0,0,0,0,
2.6,2025-08-27T00:00:02.600000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48719346523285,-102.20238494873,-102.20238494873,87.164764404297,87.304473876953,0,0,0,0,0,0,0,
2.8,2025-08-27T00:00:02.800000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48717364668846,-50.944732666016,-50.944732666016,87.946617126465,88.09260559082,0,0,0,0,0,0,0,
3,2025-08-27T00:00:03.000000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48714715242386,5.6499490737915,5.6499490737915,88.725532531738,88.871109008789,0,0,0,0,0,0,0,
3.2,2025-08-27T00:00:03.200000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48711270093918,66.190017700195,66.190017700195,89.474052429199,89.614067077637,0,0,0,0,0,0,0,
3.4,2025-08-27T00:00:03.400000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48706915974617,129.13676452637,129.13676452637,90.172058105469,90.302711486816,0,0,0,0,0,0,0,
3.6,2025-08-27T00:00:03.600000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48701563477516,192.9437713623,192.9437713623,90.805801391602,90.924507141113,0,0,0,0,0,0,0,
3.8,2025-08-27T00:00:03.800000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48695152997971,256.15789794922,256.15789794922,91.366943359375,91.472152709961,0,0,0,0,0,0,0,
4,2025-08-27T00:00:04.000000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48687642812729,317.4875793457,317.4875793457,91.851669311523,91.942649841309,0,0,0,0,0,0,0,
4.2,2025-08-27T00:00:04.200000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48679023981094,374.40878295898,374.40878295898,91.942153930664,92.020820617676,0,0,0,0,0,0,0,
4.4,2025-08-27T00:00:04.400000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48669445514679,423.53598022461,423.53598022461,91.763916015625,91.827987670898,0,0,0,0,0,0,0,
4.6,2025-08-27T00:00:04.600000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48659294843674,463.19885253906,463.19885253906,89.484634399414,89.53897857666,0,0,0,0,0,0,0,
4.8,2025-08-27T00:00:04.800000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48648920655251,488.47442626953,488.47442626953,86.545600891113,86.590126037598,0,0,0,0,0,0,0,
5,2025-08-27T00:00:05.000000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48638597130775,502.77130126953,502.77130126953,84.149299621582,84.185531616211,0,0,0,0,0,0,0,
5.2,2025-08-27T00:00:05.200000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48628526926041,509.18362426758,509.18362426758,82.195411682129,82.224868774414,0,0,0,0,0,0,0,
5.4,2025-08-27T00:00:05.400000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48618841171265,510.05386352539,510.05386352539,80.602203369141,80.62622833252,0,0,0,0,0,0,0,
5.6,2025-08-27T00:00:05.600000000+02:00,Aerial-1,-230092.67203606,12097.394455118,360655.36145183,0.012623985297978,2.4055228233337,-3.3424104913138e-05,12097.39453125,279.15057373047,139.7856524593,1004.9420654297,503.22834885346,-3.4460320472717,1.4306188821793,0.36408358812332,-0.154994815588,-0.0010541529627517,0.94610402466442,0.48609632253647,507.14202880859,507.14202880859,79.303207397461,79.322746276855,0,0,0,0,0,0,0,
