normalizedTime,indicatedAirSpeedKPH
2025-08-27T00:00:00.000000000+02:00,300
2025-08-27T00:00:06.687500000+02:00,400
2025-08-27T00:00:08.774193548+02:00,500
2025-08-27T00:00:12.000000000+02:00,600
2025-08-27T00:00:15.000000000+02:00,700
2025-08-27T00:00:18.000000000+02:00,800
2025-08-27T00:00:21.000000000+02:00,900
2025-08-27T00:00:24.424242424+02:00,1000
2025-08-27T00:00:28.470588235+02:00,1100
2025-08-27T00:00:34.413793103+02:00,1200
2025-08-27T00:00:42.000000000+02:00,1280.76923076923
2025-08-27T00:00:45.437500000+02:00,1300
2025-08-27T00:00:52.000000000+02:00,1342
2025-08-27T00:00:62.000000000+02:00,1380
2025-08-27T00:00:67.000000000+02:00,1400
