normalizedTime,indicatedAirSpeedKPH
2025-08-27T00:00:00.000000000+02:00,300
2025-08-27T00:00:03,870967742+02:00,400
2025-08-27T00:00:06,129032258+02:00,500
2025-08-27T00:00:09,032258065+02:00,600
2025-08-27T00:00:10,000000000+02:00,653.846153846154
2025-08-27T00:00:11,290322581+02:00,700
2025-08-27T00:00:14,000000000+02:00,800
2025-08-27T00:00:17,000000000+02:00,900
2025-08-27T00:00:20,303030303+02:00,1000
2025-08-27T00:00:23,529411765+02:00,1100
2025-08-27T00:00:27,878787879+02:00,1200
2025-08-27T00:00:33,793103448+02:00,1300
2025-08-27T00:00:40,000000000+02:00,1372
2025-08-27T00:00:42,903225806+02:00,1400
